start,end,line
0:07:00.919,0:07:06.15,good luck I mean I think it'd be really

0:07:02.839,0:07:09.88,interesting to to know if this

0:07:06.159,0:07:12.28,technology we well it's inescapable at

0:07:09.889,0:07:16.09,this point I know how it affects the way

0:07:12.289,0:07:20.14,we write right and it clearly does yeah

0:07:16.099,0:07:21.25,it has and can will continue so I don't

0:07:20.149,0:07:23.02,think it's bad I don't think it's any

0:07:21.259,0:07:24.58,any different than any other than the

0:07:23.029,0:07:26.71,advent of any other kind of technology

0:07:24.589,0:07:33.37,whether it's movable type or right or

0:07:26.719,0:07:36.46,the typewriter so great um yeah so okay

0:07:33.379,0:07:37.61,let er rip so okay so I've got sort of a

0:07:36.469,0:07:40.36,couple different sections the first

0:07:37.610,0:07:42.91,section is based on that initial survey

0:07:40.369,0:07:45.52,of writers that I did and it's more

0:07:42.919,0:07:47.11,focused on computers in saving and it's

0:07:45.529,0:07:48.75,sort of meant to be more gone through

0:07:47.119,0:07:50.89,kind of quickly and then we'll get to

0:07:48.759,0:07:52.78,more about your writing process in

0:07:50.899,0:07:57.16,general and how that's changed over the

0:07:52.789,0:07:58.69,years from so a couple things I don't

0:07:57.169,0:08:00.28,mind if you're repeating yourself as

0:07:58.699,0:08:02.08,well but if you're getting annoyed with

0:08:00.289,0:08:04.99,questions that are sort of getting at

0:08:02.089,0:08:06.02,the same thing just wave me on I feel

0:08:04.999,0:08:08.00,like anything I gave

0:08:06.020,0:08:10.28,be working I'm not going to like present

0:08:08.000,0:08:13.61,this on TV right just as well

0:08:10.280,0:08:15.59,so I didn't dress up if Allah is the

0:08:13.610,0:08:17.93,third of the way that it goes although

0:08:15.590,0:08:21.05,this is my this is this shirt used to

0:08:17.930,0:08:23.69,belong to James Welch the great novelist

0:08:21.050,0:08:27.05,and kuba ganas poet Blackfeet Indian

0:08:23.690,0:08:29.96,from Montana and this was a gift from

0:08:27.050,0:08:35.00,his widow so it's what I put on whatever

0:08:29.960,0:08:36.91,I come out here um well I'm one to talk

0:08:35.000,0:08:38.87,about routine and schedule suppose

0:08:36.919,0:08:44.12,that's here that we'll get to that

0:08:38.870,0:08:45.86,okay so first you would please face your

0:08:44.120,0:08:50.14,name your date of birth in the location

0:08:45.860,0:08:54.02,where we are I am Robert Wrigley I was

0:08:50.149,0:08:56.87,born February 27 to 1951 we are sitting

0:08:54.020,0:08:59.77,in my little studio building which is

0:08:56.870,0:09:02.86,called stanza one of the two Italian

0:08:59.779,0:09:06.32,words the lesser Italian word for room

0:09:02.860,0:09:12.86,on Moscow mountain not far well six

0:09:06.320,0:09:15.44,miles north of Moscow Idaho and how long

0:09:12.860,0:09:21.05,have you been writing in this spot I

0:09:15.440,0:09:27.07,built this building in 2002 so 11 years

0:09:21.050,0:09:30.35,in this space so so here's this sort of

0:09:27.079,0:09:33.11,quick and dirty questions but so what's

0:09:30.350,0:09:35.18,your what job are you working well

0:09:33.110,0:09:38.50,poetry almost exclusively every now and

0:09:35.180,0:09:41.06,then I'm sort of forced to commit prose

0:09:38.500,0:09:44.60,like a craft lecture or something

0:09:41.060,0:09:46.61,and and I've got a bunch of those that

0:09:44.600,0:09:48.14,someday people keep telling me I should

0:09:46.610,0:09:50.32,make a book out of but mostly I'm just

0:09:48.140,0:09:54.74,I'm not interested I'd rather write

0:09:50.329,0:09:57.10,poems yeah and so what kind of devices

0:09:54.740,0:10:00.70,do you own or have access to for your a

0:09:57.100,0:10:03.95,meaning electronic devices either or

0:10:00.700,0:10:07.97,well I mean most fundamentally of course

0:10:03.950,0:10:11.89,is the computer I have one laptop that's

0:10:07.970,0:10:14.66,my my private computer which sometimes I

0:10:11.899,0:10:16.16,compose on always I compose prose on the

0:10:14.660,0:10:17.72,computer I can't imagine being a prose

0:10:16.160,0:10:22.57,writer in writing in longhand but some

0:10:17.720,0:10:28.20,people do you know beyond debt I have

0:10:22.579,0:10:30.86,pencils and pens and notebooks do you

0:10:28.209,0:10:36.23,what so what's what's your operating

0:10:30.860,0:10:40.39,okay I have a Mac what is it a MacBook

0:10:36.230,0:10:42.56,Air and I no longer have an external

0:10:40.399,0:10:44.89,hard drive back when I had a PC I had an

0:10:42.560,0:10:46.79,external hard drive where backed up

0:10:44.899,0:10:50.35,everything from the hard drive of the

0:10:46.790,0:10:53.39,computer onto an external drive now I

0:10:50.350,0:10:58.39,put things into the cloud the iCloud I

0:10:53.390,0:11:00.41,back stuff up on mozi just to just to

0:10:58.399,0:11:02.30,keep reading theoretically at least I've

0:11:00.410,0:11:06.26,never had to go retrieve anything but

0:11:02.300,0:11:07.79,theoretically it's safe there yeah that

0:11:06.260,0:11:12.14,is definitely some of the questions um

0:11:07.790,0:11:14.27,do you uh so you have do you have like

0:11:12.140,0:11:15.56,do you work on a devices at the

0:11:14.270,0:11:17.36,university at all or is there just the

0:11:15.560,0:11:19.79,one device you ever moved things for one

0:11:17.360,0:11:21.41,device to the other no I try to keep I

0:11:19.790,0:11:23.93,try to keep what I write the poems

0:11:21.410,0:11:26.87,themselves away from the university

0:11:23.930,0:11:29.32,machines do just because the university

0:11:26.870,0:11:30.80,owns the machine and I'd really don't

0:11:29.329,0:11:35.63,want anything that I own on that

0:11:30.800,0:11:39.05,university machine how do you save your

0:11:35.630,0:11:41.89,prewriting read your notes I print off a

0:11:39.050,0:11:45.26,lot of things there's a pile of drafts

0:11:41.899,0:11:46.94,back here that in fact need to be moved

0:11:45.260,0:11:49.67,to a box but I haven't brought the new

0:11:46.940,0:11:52.76,box out from the house and it takes me

0:11:49.670,0:11:54.88,usually a box will take two years to

0:11:52.760,0:11:57.01,fill and then it go

0:11:54.880,0:11:58.54,into storage in the in the basement

0:11:57.010,0:12:00.40,until somebody offers me enough money

0:11:58.540,0:12:05.26,for it and then they can have all the

0:12:00.400,0:12:06.97,boxes oh so do you save the drafts of

0:12:05.260,0:12:08.74,your individual works if you go along if

0:12:06.970,0:12:10.75,you save it like as one poem or do you

0:12:08.740,0:12:13.57,put them all together or you say oh I

0:12:10.750,0:12:15.46,don't put them all together I do it it

0:12:13.570,0:12:18.01,seems to me that it would it would

0:12:15.460,0:12:19.72,probably be a good idea to do something

0:12:18.010,0:12:22.03,like that and if I were to do something

0:12:19.720,0:12:25.06,like that if someone comes along and

0:12:22.030,0:12:27.58,once my papers it would be a lot happier

0:12:25.060,0:12:30.72,if I had them organized in some way but

0:12:27.580,0:12:34.72,basically the pile which is not very

0:12:30.720,0:12:37.06,even evenly stacked is pretty much the

0:12:34.720,0:12:40.33,way they go into the box so that I will

0:12:37.060,0:12:45.07,work on a poem print off a draft put a

0:12:40.330,0:12:47.80,date on it and the number of see just

0:12:45.070,0:12:49.84,pulling the one off the top this is a

0:12:47.800,0:12:52.12,little draft of a poem called goodbye to

0:12:49.840,0:12:55.66,the river which I have no memory of

0:12:52.120,0:12:59.65,but this draft was composed on the

0:12:55.660,0:13:02.83,fifteenth of October 19 2013 and it's

0:12:59.650,0:13:05.98,draft number two so Ikey I do have a

0:13:02.830,0:13:07.78,sort of I have a system and I suppose if

0:13:05.980,0:13:09.76,someone were really interested in were

0:13:07.780,0:13:14.23,to go through the boxes which ultimately

0:13:09.760,0:13:16.35,have a year on them or a period of years

0:13:14.230,0:13:18.31,on them if it takes me long until one

0:13:16.350,0:13:20.74,someone could go through and actually

0:13:18.310,0:13:23.02,find the poems under a certain title and

0:13:20.740,0:13:26.97,and put them in order in the order in

0:13:23.020,0:13:29.38,which day they came into being of it

0:13:26.970,0:13:32.38,although sometimes I change title so I

0:13:29.380,0:13:35.32,don't know what that does to that's just

0:13:32.380,0:13:37.87,across you well it look it will keep

0:13:35.320,0:13:42.81,said researcher should he or she ever

0:13:37.870,0:13:45.49,exist is he yes well through tenure yeah

0:13:42.810,0:13:48.01,so okay so you're just saying you back

0:13:45.490,0:13:51.52,up you back up your work by using a

0:13:48.010,0:13:55.09,summary thought or folder which backs up

0:13:51.520,0:13:56.59,your work to the server and you can most

0:13:55.090,0:14:00.79,in all your all your poems are in one

0:13:56.590,0:14:02.50,location how do you say like how do you

0:14:00.790,0:14:04.43,stable work that's been published you

0:14:02.500,0:14:07.55,put it in a different place you

0:14:04.430,0:14:12.52,I do I have I have this which is sort of

0:14:07.550,0:14:16.51,the in process folder that little thesis

0:14:12.529,0:14:20.06,binders are called it Harvard and

0:14:16.510,0:14:21.35,there's the the in the back go all the

0:14:20.060,0:14:25.27,poems that have been published with the

0:14:21.350,0:14:27.17,the name of the magazine on it and in

0:14:25.279,0:14:32.06,front of the are the ones that I'm that

0:14:27.170,0:14:34.85,are still in progress have you ever

0:14:32.060,0:14:37.39,observed have you ever received her

0:14:34.850,0:14:39.11,sought out information about methods for

0:14:37.399,0:14:41.36,kind of best practices for digital

0:14:39.110,0:14:43.27,archiving I never have and probably I

0:14:41.360,0:14:45.74,should I talked to Daniel Orosco a lot

0:14:43.279,0:14:50.30,who's who is so frightened of losing

0:14:45.740,0:14:53.54,things that he's he backs everything up

0:14:50.300,0:14:56.75,on a jump drive I think maybe too he

0:14:53.540,0:14:58.37,uses mosey he uses one other backup

0:14:56.750,0:15:01.76,service as well

0:14:58.370,0:15:03.86,prints things I mean he's he's anal

0:15:01.760,0:15:05.36,about it and I can't really blame him

0:15:03.860,0:15:07.79,he's a prose writer though they lose

0:15:05.360,0:15:10.45,weight you lose a file there you could

0:15:07.790,0:15:12.08,lose hundreds of pages right right yeah

0:15:10.459,0:15:13.73,I think that was one of the interesting

0:15:12.080,0:15:15.62,things we thought was that there were a

0:15:13.730,0:15:17.45,lot of not maybe through the rest of

0:15:15.620,0:15:19.61,extent but of people who would do that

0:15:17.450,0:15:22.31,but then the issue becomes for them a

0:15:19.610,0:15:23.93,lot of times is what's what in which

0:15:22.310,0:15:26.33,about which version is which and the

0:15:23.930,0:15:28.64,kind of mess of that and like I mean you

0:15:26.330,0:15:30.70,think your is that your files will be

0:15:28.640,0:15:32.06,difficult his files will be you know

0:15:30.709,0:15:33.23,because there's not a date on them

0:15:32.060,0:15:34.88,there's no handwriting there's no

0:15:33.230,0:15:37.22,indication or I'm going to be kind with

0:15:34.880,0:15:41.65,what right well and I tried to use you

0:15:37.220,0:15:41.65,know how when you save something in say

0:15:42.279,0:15:46.61,Microsoft Word

0:15:44.360,0:15:48.44,yeah when you save it it gives you a

0:15:46.610,0:15:50.30,date but then you resave it you modified

0:15:48.440,0:15:52.67,URI save and it's completely new date so

0:15:50.300,0:15:55.25,the old date goes away so you know I

0:15:52.670,0:15:57.77,found that that I couldn't rely on that

0:15:55.250,0:15:59.66,at all I had to put a pencil debate or a

0:15:57.770,0:16:02.02,pen date on the corner of the draft just

0:15:59.660,0:16:06.64,so I knew which was which and when was

0:16:02.029,0:16:08.14,what yeah yeah and I think that it's

0:16:06.649,0:16:10.91,important I don't know that that's

0:16:08.149,0:16:14.12,important whereas in in the notebook you

0:16:10.910,0:16:16.60,know I starts with a date and every page

0:16:14.120,0:16:19.24,every page is dated

0:16:16.600,0:16:21.64,so I know exactly which I can go back

0:16:19.240,0:16:23.70,into the notebooks which I do with some

0:16:21.640,0:16:25.92,regularity just to sift through and see

0:16:23.709,0:16:28.81,if I missed anything that there's some

0:16:25.920,0:16:32.23,some piece that I might resurrect and

0:16:28.810,0:16:36.45,make use of I know exactly when I first

0:16:32.230,0:16:38.83,put it down yeah yeah okay so so that

0:16:36.459,0:16:40.24,was sort of a precursor all those

0:16:38.830,0:16:42.43,basically to ten questions are coming

0:16:40.240,0:16:45.43,back but this is going to be kind of

0:16:42.430,0:16:48.10,more overarching on your practice over

0:16:45.430,0:16:50.62,time so how long have you been writing

0:16:48.100,0:16:52.83,professionally in which I mean something

0:16:50.620,0:16:55.50,that's sort of either your main focus or

0:16:52.839,0:16:59.23,something that's the supporting eight

0:16:55.500,0:17:03.56,well I really I guess I I would say

0:16:59.230,0:17:05.74,since 197,
0:17:03.569,0:17:07.68,which was when I was at in fact an

0:17:05.740,0:17:13.08,undergraduate student I got discharged

0:17:07.689,0:17:16.63,from the Army in 1971 got drafted went

0:17:13.089,0:17:20.11,back to college and within a matter of a

0:17:16.630,0:17:21.76,few months was waylaid by poetry I

0:17:20.110,0:17:25.12,didn't want to be a poet I never really

0:17:21.760,0:17:27.01,had a whole lot of use for poetry I took

0:17:25.120,0:17:29.35,the class on a kind of lark thinking how

0:17:27.010,0:17:31.60,hard can it be doesn't have to go very

0:17:29.350,0:17:33.25,far across the page whereas I could tell

0:17:31.600,0:17:35.50,it doesn't have to rhyme anymore you

0:17:33.250,0:17:39.52,don't have to have any kind of regular

0:17:35.500,0:17:41.55,meter and as far as I could tell most

0:17:39.520,0:17:44.74,people couldn't figure out what it meant

0:17:41.550,0:17:46.17,anyway so I I can do that I can get

0:17:44.740,0:17:47.53,three credits that way well I walked

0:17:46.179,0:17:50.35,into the class and I got absolutely

0:17:47.530,0:17:52.41,waylaid and that was 1972 which was 4,
0:17:50.350,0:17:54.46,years ago and where was it

0:17:52.410,0:18:02.29,southern Illinois University at

0:17:54.460,0:18:04.72,Edwardsville my first poetry professor

0:18:02.290,0:18:11.35,was a man behind of Clyde fix me who's

0:18:04.720,0:18:12.28,still alive pushing 80 was really kind

0:18:11.350,0:18:15.25,of failed poet

0:18:12.280,0:18:19.48,I'd never wanted him to hear me say that

0:18:15.250,0:18:20.65,of course but he's published I think two

0:18:19.480,0:18:21.86,or three books and they've all been

0:18:20.650,0:18:25.57,self-published

0:18:21.860,0:18:28.52,he never really had the belly for the

0:18:25.570,0:18:30.50,getting out into the what else you call

0:18:28.520,0:18:34.46,it the marketplace the literary world he

0:18:30.500,0:18:35.24,couldn't bear rejection and I figured

0:18:34.460,0:18:36.89,out early on

0:18:35.240,0:18:39.67,why didn't I as far as I knew for a long

0:18:36.890,0:18:41.33,time rejection was like that's what

0:18:39.679,0:18:43.73,happened although the first film I ever

0:18:41.330,0:18:45.83,sent out got accepted by our first batch

0:18:43.730,0:18:48.35,of poems I ever sent out I got something

0:18:45.830,0:18:53.03,accepted so I got like hooked on that

0:18:48.350,0:18:54.77,part of it too but publication you know

0:18:53.030,0:18:56.03,as you know publication is not the same

0:18:54.770,0:19:00.77,thing as writing they're they may be

0:18:56.030,0:19:02.45,almost entirely unrelated so that kind

0:19:00.770,0:19:04.34,of gets us started but I mean the next

0:19:02.450,0:19:06.65,question is sort of like could you give

0:19:04.340,0:19:09.32,us our general description of the arc of

0:19:06.650,0:19:16.52,your career starting with this portion

0:19:09.320,0:19:19.64,versus the next to automatically take

0:19:16.520,0:19:22.72,picture sir now if this is recording I'm

0:19:19.640,0:19:25.64,just kidding I know twice just stop

0:19:22.720,0:19:29.50,because they filled up really fast it's

0:19:25.640,0:19:29.50,a higher-resolution thing

0:19:34.649,0:19:38.90,so yeah so I'm sorry

0:19:36.659,0:19:41.09,so get back to sort of the general Greek

0:19:38.909,0:19:44.09,or not the large arc of your career and

0:19:41.099,0:19:51.23,how this come take me seriously well I

0:19:44.099,0:19:56.48,mean I I'm I'm a product of the creative

0:19:51.239,0:19:58.16,writing industry uh yeah I wanted to be

0:19:56.489,0:20:01.97,a writer I wanted to write novel so I

0:19:58.169,0:20:03.57,wanted to write novels that sold a lot

0:20:01.979,0:20:04.83,of copies made me a lot of money I

0:20:03.570,0:20:06.69,wanted to live in the south and France

0:20:04.830,0:20:10.71,I'm serious about this debt enhancement

0:20:06.690,0:20:13.71,and as serious as a say a 21 year old

0:20:10.710,0:20:15.38,could have been you don't want to drive

0:20:13.710,0:20:17.33,an Aston Martin and live in the South of

0:20:15.389,0:20:20.58,France and date supermodels it seems

0:20:17.339,0:20:24.59,like a perfectly appropriate and maybe

0:20:20.580,0:20:27.98,even attainable career goal I was a I

0:20:24.599,0:20:30.77,was an idiot I didn't know anything and

0:20:27.989,0:20:37.67,but then I got waylaid by poetry and and

0:20:30.779,0:20:42.44,I think that I discovered or realized

0:20:37.679,0:20:48.05,that whatever sort of disposition I have

0:20:42.440,0:20:50.48,is is suited to poetry and not so much

0:20:48.059,0:20:52.55,to not so much to prose and certainly

0:20:50.489,0:20:54.40,not to fiction I did I have in fact

0:20:52.559,0:20:57.41,published a couple of short stories

0:20:54.409,0:21:02.75,years ago 25 years ago I think what's

0:20:57.419,0:21:05.07,the most recent one but they they never

0:21:02.759,0:21:09.02,made me happy never not like writing a

0:21:05.070,0:21:13.37,poem did so anyway I got I got waylaid

0:21:09.029,0:21:15.33,and and got real keen on poetry and

0:21:13.379,0:21:17.60,began haunting the library of my alma

0:21:15.330,0:21:18.84,mater and the department of the skinny

0:21:17.609,0:21:22.67,books you know

0:21:18.840,0:21:24.36,and looked into graduate school and

0:21:22.679,0:21:26.03,discovered there was this degree called

0:21:24.360,0:21:29.66,the Master of Fine Arts in which they

0:21:26.039,0:21:33.48,were 11 programs in the country that

0:21:29.669,0:21:39.57,offered that degree in 1972 I think and

0:21:33.480,0:21:42.14,one in Canada and applied to a number of

0:21:39.570,0:21:43.59,programs wound up going to Montana fell

0:21:42.149,0:21:45.50,in love with living in this part of the

0:21:43.590,0:21:49.23,world and really have never stopped in

0:21:45.509,0:21:50.90,terms of of writing north of living in

0:21:49.230,0:21:54.79,this part of the world so I got kind of

0:21:50.909,0:22:02.00,waylaid by geography and poetry

0:21:54.799,0:22:04.37,simultaneously the the arc of my career

0:22:02.009,0:22:07.83,aesthetically is a completely other kind

0:22:04.379,0:22:11.58,of well the kind of thing that was more

0:22:07.830,0:22:14.34,to sort of like in place person kind of

0:22:11.580,0:22:15.84,general overview where he were right

0:22:14.340,0:22:17.85,well when I went to Montana you know I

0:22:15.840,0:22:20.46,got the study with Madeleine DeFries

0:22:17.850,0:22:23.15,John Haynes and probably most famously

0:22:20.460,0:22:26.24,Richard Hugo and and they were you know

0:22:23.159,0:22:28.23,they were Dick Hugo and Madeleine trees

0:22:26.249,0:22:31.04,particularly were just enormous ly

0:22:28.230,0:22:36.45,important to me in terms of of the craft

0:22:31.049,0:22:42.92,of poetry and I don't think my notion of

0:22:36.450,0:22:44.78,the line is for me separable from what I

0:22:42.929,0:22:46.88,learned from Sarah Madeleine DeFries

0:22:44.789,0:22:50.45,dick was a completely other kind of

0:22:46.889,0:22:53.10,teacher but a magnificent teacher he

0:22:50.450,0:22:57.09,could make you see what you were doing

0:22:53.100,0:23:00.45,right and what you were doing wrong with

0:22:57.090,0:23:04.61,a phrase and that was that was a great

0:23:00.450,0:23:12.99,time and so you went from you were your

0:23:04.610,0:23:15.53,Montana and then I went to I went back

0:23:12.990,0:23:17.94,to my alma mater where I was an adjunct

0:23:15.539,0:23:20.09,for a year and applied for jobs as close

0:23:17.940,0:23:23.10,to Missoula Montana as I could find and

0:23:20.090,0:23:26.24,the the first job that I got was down at

0:23:23.100,0:23:29.19,LCSC in 1977 I was a sabbatical

0:23:26.249,0:23:31.36,replacement for you

0:23:29.190,0:23:34.63,but they loved me and tried to

0:23:31.360,0:23:36.01,immediately make a tenure-track position

0:23:34.630,0:23:38.41,for me which they offered me and I

0:23:36.010,0:23:41.49,turned down because I had an NEA and I

0:23:38.410,0:23:44.17,didn't want a job but I wound up working

0:23:41.490,0:23:46.42,teaching a couple classes for that year

0:23:44.170,0:23:48.28,and then I started tenure track on a job

0:23:46.420,0:23:52.60,that was really kind of a that I helped

0:23:48.280,0:23:54.97,for 22 years that was not a great job

0:23:52.600,0:23:58.66,for a poet because the teaching load was

0:23:54.970,0:24:00.28,for for for a long time and then somehow

0:23:58.660,0:24:04.60,I convinced them that I should have a

