timestamp,speaker,words,tags,timelink
,,"I can write individual lines by hand. When it comes to a whole poem, I do it almost exclusively on the computer. This one says, ""Even the evenings are odd, even the odds are even/ offspring, autumnal, equinox, off quilter,"" which are not lines I ended up using but often, when I'm doing this kind of walking, I'll end up with a stack this big of note cards, and then when I'm at the computer, I shift them around and type them up, and rearrange them and shuffle them and move them into different places.",prompt; paper; printdig; between,
,DB:,"So, you'll have them, like, kind of spread out in a grid on your desk essentially?",prompt; paper; printdig; between,
,BB:,Yes.,prompt; paper; printdig; between,
,DB:,"And then move them around. How does that help you&#8212;are you sort of picturing them on a page, then?",prompt; paper; printdig; between,
[00:05:00],DB:,Or are you still kind of picturing them in the air? How is that?,prompt; paper; printdig; between,300
,BB:,"In the air&#8212;very much in the air. And I'll do a thing where I'll start by dealing out a card, so like I'll just randomly deal a card&#8212;""coverts of the cube""&#8212;and start writing from that on the computer. I'm a big fan of craps and gambling, and I like to think of words as, like, ""rolls of the dice,"" in a way. So often when I'm beginning a poem, I'll start with the straight lines and images, or phrases, quotations&#8212;like this&#8212;and then when I'm sitting down with a computer, I'll deal them out with something like&#8212;""You're in geometry.""",prompt; paper; printdig; between,
,BB:,"My teenage son was in geometry, taking geometry, but I was thinking about Bruce Beasley the sculptor, and how geometrical his abstract sculptures are. So, I write like, ""You're in geometry,"" which is also not something I ended up using&#8212;though I kind of like it now. So yeah, I do a lot of handwriting work like that, especially when I'm walking.",prompt; paper; printdig; between,
,DB:,Okay. And where do you walk?,prompt; paper,
,BB:,"The bay is about half a mile from here, Bellingham Bay. The beach is about one mile exactly. There is a beach called Little Squalicum Beach. I usually walk from here down to there and sit on the rocks by the water, by the beach.",prompt; paper,
,DB:,Will you write while you are walking?,prompt; paper,
,BB:,Yeah. I carry either note cards or a notebook with me and scribble things down as I'm walking.,prompt; paper,
,DB:,"Do you have specific notebooks that you use? I mean, that seems like a very unique notebook.",prompt; paper,
,BB:,It's got a Byzantine cross on it. It's kind of appropriate for me.,prompt; paper,
,DB:,"Yeah! No, it's great. Do you have many of those?",prompt; paper,
,BB:,"I do. And I'll write&#8212;often when I'm writing, I'll just write tittles off and I'll start with just tittles. So, just yesterday, I wrote ""False Negatives,"" ""Team Lullaby with Abraham and Dedalus,"" ""Isaac and Icarus,"" ""Be All and End All,"" ""Study for Happiness."" Often I'll start with a title like that and start mulling it&#8212;and scribbling down lines for it in a journal like this one, and then when I get enough lines, either put them on note cards or just sit down with a computer and a notebook and start transcribing and moving around things that I've written in the notebook.",prompt; paper; printdig; between,
[00:7:52],,"I can't remember the last time, and I may never have done it&#8212;written an entire poem by hand without a typewriter or a computer. I just don't work that way.",prompt; paper; printdig; between,472
,DB:,"Yeah, but you do write by hand a lot of the pieces of the poem.",prompt; paper; printdig; between,
,BB:,"I generate&#8212;yeah, I generate fragments of the poem, but the act of consolidating and moving them, and making a poem out of them&#8212;for me it's always been done on a computer, or a typewriter before that.",prompt; paper; printdig; between,
,DB:,"So, what do you do to kind of save&#8212;like when you are finished with the project or finished with these cards, do you save them somewhere?",,
,BB:,"Yeah. I was trying to find the rest of these. I have them, but I can't put my finger on them&#8212;but they're somewhere.",,
,DB:,"Somewhere like in a box or in a file, cabinet?",,
,BB:,Yeah.,,
,DB:,And how many notebooks do you have at this point?,paper; future,
,BB:,"I have a lot. I have a box of them this big, in no particular order. The other thing I do&#8212;you might be interested in&#8212;is once a year I print out all the notes, all the computer writing I've done. I keep them in a bound journal that is by year. So this one, for example, is 1999&#8212;and you'll see that a lot of times, when I work on the computer, I'll write a kind of journal, just sort of what's going on and what I'm thinking about, and working with stray pieces of poems that I've written down by hand.",paper; future,
[00:9:25],,"And then&#8212;I don't know, somehow it's important to me to have it all printed out. Because when I'm writing and in between poems, I'll often skim through the printouts of previous years, looking for pieces of poems I've started but never finished, or just stray lines that didn't go anywhere but now they do.",prompt; paper; printdig; between,565
,DB:,"So does this serve almost like&#8212;so would you search for things on your computer, too? Or you would rather come search your own archive, your own index?",paper;printdig;future,
,BB:,"I don't like reading on the computer, I never have.",paper;printdig;future,
,DB:,Okay.,paper;printdig;future,
[00:10:00],BB:,I like to write on a computer but not read on it. And what this also does is it gives me all the drafts of every poem I have ever written.,paper;printdig;future,600
,DB:,And you do this once a year? You print out everything once a year?,paper;future,
,BB:,Yes.,paper;future,
,DB:,Are there dates on the poems themselves?,paper;future,
,BB:,Yeah.,paper;future,
,DB:,So you date&#8212;and do you put a time? Or do you just&#8212;?,paper;future,
,BB:,"I do. Like this one says, ""December 10, 1999, Dickinson's birthday and Don is a friend of mine, come to think of it, Friday morning 9:15,"" and then I'll start talking about what's going on and then start working on lines from a poem, thinking about etymologies&#8212;Latin penetralis, inner. penetrari&#8212;""to penetrate""&#8212;from which comes penetralia. ""Penetrate is to enter or force the way into, to grasp the inner meaning of""&#8212;you know, that sort of associative thinking. But I do it in writing on the computer, often, and when I'm not doing that I'm walking and doing it in my mind and jotting down notes in a notebook.",paper;future,
,DB:,"Do you have like a schedule to which you try to keep, or is this just kind of a continual work?",career; prompt,
,BB:,"Continual. When I'm&#8212;in the summer, or on sabbatical (because I was on sabbatical most of year before last), then I'll write every day, all day, as much as I can. I mean, I'm here at my desk, right there or right here, or walking. Often I'll walk for two hours and come back and write for two hours, or something like that.",career; prompt,
,DB:,"So, mostly it's here.",career; prompt,
,BB:,"I'm a really obsessive writer, so when I'm writing I do it kind of nonstop. But I go long periods where I don't write&#8212;that's my kind of schedule.",career; prompt,
[00:12:08],DB:,And usually those correspond to your teaching?,career,728
,BB:,Yeah.,career,
,DB:,And you teach&#8212;is Western on a quarter system?,career,
,BB:,Mm-hmm.,career,
,DB:,"So, you teach from September to mid June every year?",career,
,BB:,"Late September to early June, yeah.",career,
,DB:,"Alright. So let me kind of backup for a second. We've talked some about your practices now; I'd like to kind of think about different eras in your own career, and your writing practices then, too&#8212;and we can kind of relate them a little bit, hopefully. But before that, could you say how long you have been writing? This isn't scare quotes, but&#8212;professionally?",career,
,BB:,"My first book was published in 1988, so '98, 2008&#8212;twenty-five, twenty-six years.",career,
,DB:,"Could you give kind of a&#8212;describe, kind of give a broad arc of your career, just to kind of ground the interview a little?",career,
,BB:,In terms of what I have written and published?,career,
,DB:,"Yeah. Where you've been, what the projects have been, etc.",career,
,BB:,"Okay. So, I grew up in Macon, Georgia. I started writing poems when I was about twelve, and&#8212;really awful, awful poems when I was twelve. But I kept writing all through high school, and went Oberlin College where I took a lot of creative writing classes, majored in English. Then I went to Columbia University MFA program after that, immediately after that. I graduated from there in '82 and I did a series of editorial jobs during the first half of the '80s, writing for alumni magazines and things like that, and other magazines. I worked for a magazine called Good Life, which was a magazine designed to be marketed to the richest people in the country, things like that&#8212;1% top, 1% maybe&#8212;and ironically it went bankrupt shortly after I started working there.",career,
,BB:,"And then in '86, Wesleyan University Press accepted my first book, Spirituals, and that gave me the kind of jolt I needed, I think, because I just felt this increasingly grotesque disjunction between what I was doing for a living and what I cared about. So I went back and got a PhD at the University of Virginia in American Literature. I did a dissertation in Emily Dickinson, and then while I was in the PhD program I wrote most of my second book, The Creation, which won the Ohio State University Prize and was published in '94.",career,
,DB:,Who chose that? Was that Charles Wright? Or was that the next one was Charles Wright?,career,
[00:15:00],BB:,"No, that was&#8212;I think David Citino who was the judge of that. And I came here to Western in '92, moved out to Bellingham in the fall of '92. In '96, Charles Wright picked my third book, Summer Mystagogia for the Colorado Prize, and then Wesleyan published Signs and Abominations in 2000. Five years later, Lord Brain&#8212;a book about cosmology and the mind and the brain and looking at metaphysics through the physicality of the brain and the structures of the cosmos&#8212;won the University of Georgia Press competition, was published by them. And then The Corpse Flower, my New And Selected Poems, was published by the University of Washington Press in 2007, I guess. The most recent was Theophobia, which BOA published in 2012.",career,900
[00:16:16],DB:,"And from 1992 to now, you've been professor at Western Washington, teaching?",career,976
,BB:,Yeah.,career,
,DB:,"So, I have this kind of broken apart into, like: ""composition,"" ""writing,"" ""prewriting,"" ""generatives,"" ""structure,"" ""revising/revision,"" and then ""organizational/archival""&#8212;which is more like putting books together, etc.&#8212;and I'd like to talk about it in different stages. So if those don't work for your writing process, let me know. We can talk about it differently. But we probably won't even&#8212;we'll probably just talk.",,
,DB:,"So when you first&#8212;like, right out of college up until your first book&#8212;what was your writing process like then? How were you writing then?",,
,BB:,"I was working on, as I said, a series of editorial jobs, and I did a lot of writing at work, which was nice because I had jobs working for PR offices at colleges and universities, but they were jobs where there was a huge amount of spare time where there was really nothing to do. I wasn't expected to do anything; there was nothing to be done.",early; career,
,BB:,"You know that old ad&#8212;the Maytag Repair ad? There was an old, famous ad campaign for Maytag washing machines, and the joke of it was that the washing machine never broke down; so they had Maytag Repairs, and the Maytag Repairs people were just really bored, they had nothing to do. So, I had a sign on my desk that said Maytag Repairs. But I had a lot of spare time, so I would write a lot at work on my typewriter&#8212;this was before computers. So, I wrote a lot of my first book in those jobs.",early; career,
,DB:,"So, we can talk about the pre-writing, generative&#8212;were you taking notes like you do now? How did you get to the poems, I guess, at that point?",early,
,BB:,I was typing.,early,
,DB:,You were just typing?,early; paper,
,BB:,"Yeah, typing. I probably had one of these notebooks here, if you want to look at it. Here is one, and I was printing it out&#8212;oh, this was a little bit later, this is '92&#8212;but it was printed out on these long rolls of printer paper, you know? Those old-style printer rolls?",early; paper,
,DB:,With like serrated edges? Yeah.,early; paper,
,BB:,Yeah. So just doing essentially what I do now&#8212;large chunks of prose that would lead to ideas and sort of mull through ideas&#8212;but I was typing it on a Selectric typewriter.,early; paper,
,DB:,"Okay. And then printing it out that way. So when you started, you were writing on a typewriter and had a similar mode of kind of generative&#8212;did you do walks or anything like that in the early&#8212;?",early; paper,
,BB:,"No, I had to be at my desk, so I couldn't.",early; paper,
,DB:,You had to be at your desk. Would you write lines and then rearrange them at that point? Or were you kind of composing more closely full poems?,early; paper; prompt,
[00:19:23],BB:,Exactly the same way I do it now.,early; paper; prompt,1163
,DB:,Okay. This could change.,early; paper; prompt,
,BB:,"Doesn't change at all, no. I'd write stray lines and then start pulling them together and rearranging. The difference was, it was much more cumbersome to retype it all than it is now&#8212;but essentially the same process.",early; paper; prompt,
,DB:,"As you progressed in your career, when did you move to a computer?",early,
,BB:,"I think my first computer was probably&#8212;did I have a computer in graduate school? I think probably at the end of&#8212;no, because I wrote my dissertation on a typewriter. No, I didn't,",early,
[00:20:00],BB:,I had a computer when I was writing my dissertation in Virginia in the early '90s.,early,1200
,DB:,Early '90s?,early,
,BB:,1990-1991.,early,
,DB:,When you were getting your PhD what was your writing style like? Were you writing at home mostly?,early,
,BB:,"Yeah. And I was writing&#8212;I was doing long walks then, too.",early,
,DB:,Okay. Through Charlottesville somewhere? And then was that when you started writing down on the note cards?,,
,BB:,No. That's a pretty recent thing.,,
,DB:,That's a more recent thing?,,
,BB:,Yeah.,,
,DB:,"So that sort of early&#8212;that sort of note taking, walking, was established pretty early. Did anything change, like as you moved to Bellingham? Or was the process fairly similar for prewriting, etc.?",,
,BB:,It's been pretty constant.,,
,DB:,Pretty constant?,,
,BB:,Yeah.,,
,DB:,"Has it changed by location at all? I guess one big event probably in your writing life is this thing [the small, separate space in which the interview is taking place]. What was it like? When this came into your life&#8212;when was this built, this cottage?",,
,BB:,I think about seven years ago.,,
,DB:,"Did your writing practice change very much for it, or was it just made much more useful?",,
,BB:,"It's easier. This is my flipper. This thing is crucial to my writing. This is the window crank for an old-fashioned window that I had growing up in Macon, Georgia. As a child I started a process of flipping this thing, or doing like this. I call it my ""flipper."" It's crucial to my writing and I have had it ever since I was a little kid, but as a kid I would throw it when I was thinking&#8212;and even as a teenager, I would write mostly by flipping this thing.",prompt; revision; highlight,
,BB:,"There is something about the action, repetitive action of throwing and catching, that's always been really important to generating ideas. It's similar to the kind of rhythm I have when I'm walking, I think&#8212;that kind of rhythmic catch and release. So often when I'm writing, all through my life, I have kept this thing with me and I flip it while I'm thinking. Often, I can't think unless I'm doing that. It's a kind of kinetic thing, I think, and when I'm walking, often I have a stick, a stick that I'm flipping or throwing around, too.",prompt; revision; highlight,
,DB:,"Something with the hands almost always, too?",prompt; revision; highlight,
,BB:,"Yeah. So, I lost this thing for a couple of years. Somehow it got lost, and it drove me crazy. Then I found it I was like, ""My flipper! It's back!""",prompt; revision; highlight,
[00:22:49],DB:,"That's funny. Within the writing process, do you have certain times when you pick it up? Are you more likely to use it when you are generating work or when you are revising, or does it&#8212;?",prompt; revision; highlight,1369
,BB:,Every&#8212;all times.,prompt; revision; highlight,
,DB:,All times?,prompt; revision; highlight,
,BB:,"Especially when I'm revising. When I'm revising, I say the poems aloud over and over, always&#8212;and often when I'm walking. I can always tell a poem is almost finished because I've come to the point where I've memorized it without trying to&#8212;just from saying it aloud so many times. Often when I'm walking, I get to a point where I've got to draft in my mind and mumbling it to myself aloud, while I'm walking, to hear the rhythm of it and the sound of it and the words of it.",prompt; revision; highlight,
,BB:,"When I'm revising or when I'm generating new ideas, I often use this thing. I remember my roommate in college told me, when Suzanne and I were first dating, I would leave her house and come back to my own room in the house where I was renting a room, and I would lie in bed and flip this thing, and he came in and said, ""You know, you tell Suzanne you're writing, but really you're just flipping your flipper."" I said, ""But flipping my flipper's how I write!  That's what I'm doing, I'm writing!""",prompt; revision; highlight,
,DB:,"That's fascinating. I guess I'm sort of trying to get&#8212;so you will use your flipper in somewhat pensive moments when you are kind of considering what you've written or what you are about to write, but also maybe&#8212;I mean, do you do it at your desk ever?",prompt; revision; highlight,
,BB:,"It's kind of hard to do it in a desk, so maybe when I'm sitting or lying down in bed. So, in here, I'll pull the Murphy bed down, sometimes I might look out the skylight, do this and think, and jot down lines.",prompt; revision; highlight,
,DB:,"Yeah. So you were saying earlier, like once you have these lines jotted down, you have the notebooks kind of composed and you also have big chunks of prose in the computer that you've written, too&#8212;",prompt,
[00:25:00],DB:,"&#8212;so, how does this jumble become a poem, exactly? Where do you get to the point where you start to rehearse it in your head and start to revise it?",prompt,1500
,BB:,"Oh, okay. So, the prose that I write is&#8212;I'll find something more recent&#8212;is designed to get me, it's just sort of a thinking aloud, and I encourage my students to try this, too. It works really well, for me anyway. So I'll start with just a kind of diary&#8212;not like a diary, but just sort of ""this is what's happening right now,"" and then go from that to general ideas and images, fragments. Sometimes I'll make list of words that will take up a page or two. Sometimes I'll&#8212;this is my unabridged dictionary that I use&#8212;",prompt,
[00:25:20],DB:,That you roll the dice&#8212;,prompt,1520
,BB:,"Obsessively. Yeah. Sometimes I'll roll dice to pick a page in the dictionary and open to that page, and just read that page until something in the words or the etymologies or the definitions trigger something.",prompt,
,DB:,What's the edition? What dictionary is that?,prompt,
,BB:,"This is Webster's Unabridged New Universal. So I'll turn to a particular page&#8212;""clean lead,"" ""clean sweep,"" ""clean shaven,"" and ""cleanser,"" ""clean room,"" ""cleaning woman,"""" clean energy,"" ""clean cut,"" ""clean bill of health""&#8212;I'll read around it until something starts triggering something that's going on emotionally or intellectually right at that moment in my life.",prompt,
,BB:,"Thinking about cleanliness and I might just start typing and thinking about associating with cleanness and dirt and pollution, and what it means for something to be ""clean cut."" So, I'll start writing some lines, and then often what I will do is&#8212;once I've got some lines or some ideas going, I'll go for a walk, and I will just fill up a whole page with words that sound good with the word ""clean.""",prompt,
[00:27:11],DB:,"Okay. How do you determine what sounds good with the word ""clean""?",prompt,1631
,BB:,"Just associatively. ""Clean machine,"" for example, sounds good to me. I would write on a note card or notebook ""clean machine,"" even though that doesn't mean anything to me. What's a ""clean machine'? And walking, I'll start thinking about a ""clean machine,"" just as an example.",prompt,
,BB:,"So, yes: how do you get from that prose to lines? I'll just read you an example:",prompt,
,BB:,"Reading Celan: ‘it is time it were time'&#8212;which is a line, one of my favorite lines of Celan&#8212;""Amen to that. I want to write a ‘Damaged Self-Portrait'""&#8212;that's a poem that ended up being in Signs and Abominations&#8212;the principle of being to write about myself is I am now through suggested images rather than through narrative or logical progression.""",prompt,
,BB:,"So oftentimes I'll start with that kind of abstract, ""this is what I want to do, how I'm going to do it,"" series of images for myself, for selfhood in general; disconnected images. And then I'll start writing lines:",prompt,
,BB:,"Rent twin&#8212;and there, it's just that ""rent"" and ""twin"" sound good together&#8212;""Rent twin, gash in the oak trunk, mud sucked on boots/ What comes back comes halve, to crucifix, the awkward joining together of two broken sticks""&#8212;just sort of free-associating images and lines and ideas and words that draw each other&#8212;for me. And after awhile I will take some of those lines and start walking and thinking about it: what's ""mud sucked on boots?""  What am I talking about? I'll start building on that.",prompt,
,DB:,"How do you determine what comes first, what comes later? I guess&#8212;how do you build the progression of the poem?",prompt; revision; highlight; printdig,
[00:29:25],BB:,"At first I don't worry about that at all. I just let lines accumulate, images accumulate, phrases&#8212;until I have a whole series of pages of drafts. Then I'll start worrying about it. I try not to make myself&#8212;I know poets who write from the first line on: begin with the first line and then write the second one. Linda Bierds once told me she writes that way, which astonished me because it's so utterly unlike anything I do. But I really try, especially when I write long poems&#8212;which a lot of my poems are&#8212;not to impose any order on it",prompt; revision; highlight; printdig,1765
,BB:,"until I've got pages and pages of lines. Then I'll print them out. I think I can find an example of&#8212;okay; so here I have, like, just pages of lines separated by just asterisks or marks with no attempt at coherence. And at that point, I'll start moving them around: what if I start here? What if I put this here? Sometimes I'll have them all written down on note cards and rearrange the note cards, because I'll have one section, then I'll go through the note cards and say, ""what would be interesting after this?"" and I'll move that card to the second position and then type it all up together in that order and read it aloud until it starts to sound right.",prompt; revision; highlight; printdig,
[00:30:00],DB:,"When you type it up on a computer like that, what do you&#8212;I guess I'm wondering where this all resides on your computer. Do you have a folder for notes and lines, and then a folder for, like, poems that are starting to come to fruition?",files,1800
,BB:,Would you like to see an example?,files,
,DB:,Sure.,files,
,BB:,"What I do typically is, within that file where I have all the ruminations and free associations and that kind of stuff&#8212;",files,
,DB:,What do you call that file?,files,
,BB:,"You see&#8212;well, I'll show you. Sometimes I'll just call it by the name of the month to make it easier, like ""June 2014."" But often, I'll give it a title less thematic instead. Like I might call&#8212;the thing I was just working on, I might call it ""Damaged Self,"" something like that. I like doing that, except that it's hard then to go back and figure out when that was written. So, I've started just calling them just, ""June 2014."" So when I got back to print them all out then I&#8212;",files,
,DB:,You know what order to put in there&#8212;,files,
,BB:,"I know where, what's what, and I started organizing them by year on my computer. So under ""My Documents,"" I have a file called ""Poems."" Within it I'll have&#8212;I don't know if you can see this&#8212;""2011,"" ""2012,"" ""2013,"" drafts of my book manuscript, All Soul Parts Returned, various other things. Within ""2013,"" I have ""Early summer 2013,"" ""Ecclesiastes,"" ""January 2013,"" ""Late Summer 2013,"" things like that.",files; mss,
,DB:,Those are the files&#8212;those are the folders that will hold the individual poem?,files,
[00:32:58],BB:,"Yeah. So then I have drafts of a poem I was working on called ""Speech for a Speed Date."" This is a poem I wrote partly by taking the first poem I ever wrote when I was 12 years old and running it through Google Translate, through just about every language that they offer, until it came back completely deformed and defaced&#8212;and still, it was a really corny poem called ""Light A Single Candle."" It became speech&#8212;kind of a surrealistic speech for a speed date:  ""Do you enjoy the hiss of candle wax and cigarette ash? Do your hobbies include a love of what cannot die?"" Some of which came out of those translations.",files; prompt,1978
,BB:,"Then I'll have this kind of list of what's going on, and drafts of a poem called ""Reading Jesus Again With a New Prescription."" You'll see I have a whole bunch of lines that I'm working on, and what I often do is just copy those, and write some prose about them&#8212;sort of identifying what I like about it and what's bugging me about it, what I don't like about it&#8212;and then paste it back again, move things around. Often, I'll put bold face when this is a revision process, when I get to a place that I don't like or feels clunky, I'll bold face it so that I can come back to it and just say, ""What am I going to do to fix that?""  Then the next draft I'll cut it or change it or&#8212;here's a whole section, it's all in bold face. I think I ended up cutting it. This is a fairly long poem so there are a lot of drafts of it. Then I'll copy it over and over until I get it the way I want it.",files; prompt; revision,
[00:33:55],DB:,"So, all drafts are in one file?",files; revision,2035
,BB:,Yeah.,files; revision,
,DB:,And you just keep copying and replacing and bolding parts that you have problems with?,files; revision,
,BB:,Yeah.,files; revision,
,DB:,"And then as it gets towards the end of the file, it's getting towards its final form.",files; revision,
[00:35:00],BB:,"So, like here I'll have the draft of that ""Speech for Speed Date,"" and then I'll say: ""The cling of cigarette ash to candle wax feels a little bland, intensify it""&#8212;I'll sort of give myself instructions like that. ""Tallow"" might be a better word than ""candle wax."" ""Do you enjoy the cling of cigarette ash to tallow?"" and various versions of it. You'll see I've got, like: draft, draft, draft&#8212;probably ten or more drafts of it in here.",files; revision,2100
,DB:,"So, I'm interested in the Google Translate stuff. Have you done that before, or it's just the first time?",files; prompt; revision,
,BB:,"This is the first time I did that. Well, no, actually I did that partly with one of the poems in Theophobia. It's a poem about the Gospels and a meditation on the gospels. I'm forgetting the title of it right now. I've got it right here somewhere. Yes, a poem called ""The Kingdom of God is Not Ushered In With Pump and Exclamations.""",files; prompt; revision,
,BB:,"What I did with that is I took some of the passages of the Gospels and ran it through Google Translate to see what would happen to it. So they would be partly recognizable from the Gospels, but partly different and estranged. I didn't use exactly the phrasings that came out of Google Translate, but allowed it to shake up the familiar, biblical, canonical sayings in such a way that it became stranger, and gave me ideas for rephrasing things.",files; prompt; revision,
,DB:,Before that have you ever done any similar practices?,files; prompt; revision,
,BB:,Not that I can think of.,files; prompt; revision,
,DB:,Have there been any other computer kind of enhanced ways of composing poems?,prompt; revision,
,BB:,"Not computer enhanced. A lot of aleatory practices, like the dice I mentioned in sense&#8212;in The Corpse Flower called ""The Craps Hymnal,"" where I rolled dice everyday for a period of several months and went to a page in the dictionary, and worked that way.",prompt; revision,
[00:37:09],DB:,In The Corpse Flower they have the dice as the&#8212;so how did you do that? Did you work with the publisher to do that&#8212;to have the dice appear above the title?,prompt; revision,2229
,BB:,I had it in my manuscript.,prompt; revision,
,DB:,You did have it in the original?,prompt; revision,
,BB:,"Somebody who read the manuscript said, ""No publisher is ever going to do this. They are not going to reproduce dice on every&#8212;"" I said, ""Yes, they are. They have to. It's part of the poem."" University of Washington Press, they were great about it, they agreed to do that.",prompt; revision,
,DB:,"Good. And you also&#8212;is it in that poem, or it's another poem where you have like bolded but shadowed&#8212;?",,
,BB:,"In ""The Rotbox.""",,
,DB:,"Yeah. Where did that come from, I guess?",,
[00:38:15],BB:,"That came from a good friend of mine who is a geologist, and he collects animal bones as part of his research. He's very interested in the physiology of animal skeletons but he had on his property up in the country, this thing he called the rotbox where he would take animal carcasses and allow them to rot over winter, and then have a day in the fall where he would harvest, he called ""harvesting a rotbox.""",,2295
,BB:,"I went with him, and it actually happened to be the day that the war in Afghanistan started. So, I spent the whole morning helping him harvest this rotbox, which is a matter of taking these skeletons out of this big decomposing pit, and cleaning them with bleach and other stuff. It was, I don't remember&#8212;cow skulls, I don't know. I'm not sure what it was. So, I spent the whole morning with him doing that and then, as I was driving home, I was just still stinking of decomposition&#8212;",,
[00:38:49],DB:,Did you volunteer for this job?,,2329
,BB:,"He called me up and said, ""I'm harvesting the rotbox, you want to come?""  I went, ""Yeah. Hell yeah."" So, our friendship began really because we hardly knew each other at that time. But all the way home from the county, I was listening to the radio and the bombing had started&#8212;""Shock and Awe"" had started in Afghanistan. I was thinking about things that did decompose, and words and phrases that decompose into other words and phrases.",,
,DB:,"How were you able to do that on your computer? Were you sort of experimenting with the fonts, and&#8212;?",,
,BB:,Yeah. I think what I did is used a larger outline font.,,
,DB:,Okay.,,
[00:40:00],BB:,So that the letters would look hollowed out.,,2400
,DB:,"Before the computer, did you ever have inclinations to use, sort of, fonts like that? Or do any sort of things&#8212;?",early; printdig,
,BB:,"No, I didn't. I'm very interested in some of the visual poets, poets like Ronald Johnson. His early work which is all typewriter-based, but he does some amazing things with the shape of the words and the appearance of the words using the typewriter.",early; printdig,
,DB:,"A lot of your poems, especially Signs and Abominations, where you use a lot of punctuation to kind of indicate either definitions coming or stuff like that&#8212;some of that is rote, but some of it, it seems, that you made up yourself. Is that&#8212;how did that come about, I guess is the question?",,
,BB:,"I'm using a lot of punctuation in this new manuscript. Let me show you. Punctuation is a kind of separation of sections, but also is a kind of an element of meaning in the poem. So, this poem has a single asterisk for the first section, two for the second, three for the third, and so on. Others have crosses, dividing sections&#8212;which mean to suggest that Christian cross, of course, but also the sign of addition, each section being an addition to the previous one.",highlight,
,BB:,"Let's see what else. One of my readers for this manuscript said they found it distracting, another said they found it exciting. I'm hoping for the exciting. Here I have a kind of version of&#8212;this is the one the Bruce Beasley poems. It's kind of a version of the ""does not equal"" sign, because I'm writing about this geometrical shape, I'm working with the geometrical shapes of punctuation and typography. And that, I suppose&#8212;well, you can do that on a typewriter. That's an imported symbol from my computer, a mediated text; so in that way I think...here I'm talking about the Korean letter, which has no sound. You have to put it&#8212;I'm learning Korean with my son, who is Korean&#8212;it's a letter you have to put in front of a vowel sound, because vowels can't come first in a word in Korean. So, if you begin with a vowel like an ""A,"" you have to put this null of a consonant in front of it. But it also resembles an egg, or a zero. So, I'm working visually with the sound of that. There is a consonant shaped like an egg balanced on its end that stands for nothing, makes no sound, and I'm connecting that to certain hollow geometrical structures and Bruce Beasley sculptures. Does that answer your question?",highlight,
,DB:,"Yeah, yeah.",,
