timestamp,speaker,words,tags,timelink,
,DB,"So, on the hard drive on the computer and then in the back-up drive as well?",,,
,NVW,Yeah,,,
,DB,"Do you keep print copies of your final drafts, or&#8230;?",,,
,NVW,"Oh, yeah",,,
,DB,"OK, so that you have a paper archive as well?",,,
,NVW,Yes,,,
,DB,"What do you do? How do you keep that? Just in the boxes like the notebooks kind of, or&#8230;?",,,
,NVW,"Yeah, they're usually with the notebooks. I just, once I print them out, I do some final kind of tinkering usually with the galleys. I'll keep a copy of the galleys when they book's actually coming out, and that gets filed with the notebooks then-when I'm done with it.",future,,
,DB,"OK, and this is kind of just a quick question from me, personally, and librarians but&#8230; Have you ever received or sort out information about methods for digital archiving activities, like best practices?",,,
,NVW,No,,,
,DB,"No, OK. And would you be interested in information about that?",,,
,NVW,"You know, maybe. I was thinking about that the other day. A couple of&#8230; I was thinking about making a book of selected stories from my 4 books of stories--",,,
,DB,"Oh, yeah",,,
,NVW,"--And realizing that my first 2 books of stories, I don't know if I can access the computer files of them anymore. They're like on floppy disks, or zip-disk, or something.",,,
,DB,"Oh, yeah. A zip-disk",,,
,NVW,"I don't know if I could. You know? Does that mean I'm going to have to retype those suckers, or what?",,,
,DB,There's usually a way to get them,,,
,NVW,"Yeah, if I could even find them.",,,
,DB,"Yeah, yeah. So, there's always that question",,,
,NVW,"There's that, yes. You know, when we moved out here&#8230; Yeah, so that would be a major task-to locate and &#8230; So, I could probably use some help with that",,,
,DB,"OK, yeah, and that's definitely something typical of that period, especially the 90s with all the different word processing softwares and all the different ways of saving them sort of put people Yeah, what do you do?)'",,,
[00:08:45],DB,"So, that was a sort of quick beginning",,,
,NVW,OK,,,
,DB,(I'm just going to check this to make sure&#8230; It looks like&#8230;),,,
,DB,"How Long have you been writing in a more professional capacity, in a way that was sort of feeding you or giving you some sort of assistance&#8230;? When do think that you started writing as a vocation? Or as something that led to something that would be your vocation, which is probably teaching?",career,,
,NVW,I guess since graduate school. I went to graduate school and I thought I would just do that for a year that was my plan. I would go to graduate school in creative writing for a year and then I would go to medical school. I had been a pre-med major all through college but when I got to graduate school I was totally happy doing my writing thing and I never looked back. So I started my so-called practice there where I worked every day on my writing. That was 1975.,career,,
,DB,And where was that?,career,,
,NVW,I went to the University of Denver.,career,,
,DB,And was that a one year program?,career,,
,NVW,No I actually stayed the regular two years.,career,,
,DB,So you stayed 2 years and got your mfa. My next question is how would you describe the arc of your career? Where went from there and then elaborate?,career,,
,NVW,"From there, I taught. I got my first teaching job at Marymount College of Kansas, now defunct. So I taught there for three years and then I got a job at Lake Forest College, which is just north of Chicago, and I taught there for 11 years, and then I came out here in 1990, and I've been here ever since.",career,,
,DB,And you retired from ..,career,,
,NVW,"I retired from Eastern (Washington) in '07, but I'm continuing to teach at Vermont College.",career,,
[00:11:12],DB,"So now we're going to get to the specific writing practices generally, and I have it delimited into three stages: a drafting/prewriting/notebook stage, and then an organizational stage, and then an archival/storage stage. And I'd like to go through and ask you about your practices by stage, and talk about those stage by stage.",,,Poetry Writing
,NVW,That makes sense.,,,
,DB,"I'd like to start by talking about the ways you draft and create your work initially. So what is your typical compositional practice? And what I'm interested in here is, when you first started writing how were you generating and composing your writing at that point?",paper; highlight; revision; change,,
,NVW,"So yeah, early on - one of the things that's different now- is that early on I would probably just work on ""a"" poem, so I would write. I would have a page in my notebook, and there were lines, and I would move things around on the page, and then I would have another page in the notebook with a different poem. But over the years I've started working on maybe two or three poems almost kind of simultaneously, on the same page, which feels kind of nutty, but what I was experiencing that led me this way was that a lot of times things would be coming to me - images, lines --- that didn't seem to belong to the poem I thought I was working on. So I realize it might be helpful to not confine myself. So that's why that was one of the main transitions. I think that happened maybe half-way along. In the late-eighties or so I started experimenting with that and I liked it. I liked having just a page with a poem one margin, and another going down another margin, and one going across the bottom. Something like that. ",paper; highlight; revision; change,,
,DB,On one notebook page?,paper; highlight; revision; change,,
,NVW,"Yeah, on one page. And then a lot of times what would happen is - I didn't like one or two or all three of them, and eventually one of those poems would kind of gel and get its own page.",paper; highlight; revision; change,,
,DB,It's own page in the notebook?,paper; highlight; revision; change,,
,NVW,Yeah.,paper; highlight; revision; change,,
,DB,"Could you put that at a certain book, or was that just sort of gradual?",change,,
,NVW,I think where I really started experimenting with that was a book called Beside Ourselves.,change,,
,DB,That was 2003 or something,change,,
,NVW,"Yeah, that was really also the first book that was more a deliberate series.",change,,
,DB,"Yeah, I think I kind of figure out where that happened, and see that.",change,,
,NVW,And then I liked that. I like working in series so much when I was writing that book that I also just decided I wanted to keep moving in that direction. I liked those series poems. And they maybe leant themselves more to that practice with several poems happening at the same time in early draft stages.,change; mss,,
[00:15:10],DB,How is that different than your fiction writing?,,,Fiction Writing vs. Poetry Writing
,NVW,"I don't really see a lot of similarities between writing stories and writing poems in terms of the drafting process &#8230; well, in terms of anything. Stories are really different. One of the first things I learned about writing stories in the drafting process is ""oh! it kind of helps to know a few things about what happens in this story"" unlike a poem where you're just kind of launching into the unknown. It seemed helpful to have a few scenes in mind. What some of the lines of tension, story lines, almost, not an outline, but I would often write down four or five sentences that would later become scenes.",prompt; paper,,
,DB,And that would happen in the notebook?,prompt; paper,,
,NVW,Yeah. Or just a scrap of paper in the car when I'm driving.,prompt; paper,,
,DB,And then did you grab those scraps of paper and put them in a notebook. Did you accumulate that detritus of composition &#8230;,prompt; paper,,
,NVW,Once I write the scene I throw out the piece of paper.,prompt; paper,,
,DB,So it's gone. That's gone.,prompt; paper,,
,NVW,"But then my process in making stories would be - I try to write a scene a day or so in the initial drafting phase and then I just try to stay with that scene. Blow out the edges. Often it's like three times as long as it's going to actually be in the final story. Usually compressing, compressing, compressing, but initially I kind of move around, see what's happening in the periphery, sort of stay in one scene at a time and I don't worry about the order. I'm not writing the first scene first. I often start with the middle scene. I kind of know I'm writing the middle scene. I move around the chronology of the story because I have these lists. And often when I'm working on one scene I think of another scene and then I'll just write it on another sheet of paper, again, a sentence that'll prompt me so I don't forget. The process is very different [from writing poems]. When a story is happening, when I'm getting an early draft. It comes really fast. I hate it, I hate it, I hate it. Because it takes all my time. I've been known to cancel classes - I'll say I'm sorry I can't come in today.",prompt; paper,,
,DB,That's dedication.,,,
,NVW,Because I feel like I'm going to lose it.,,,
,DB,"So when you said it's happening it feels like it's come to you, and it's not inspiration, it's accumulation?",,,
,NVW,"So much is going on. I go out and I take a walk every afternoon in this park. It's actually part of my writing process. I take a walk in the afternoon, and it's like 'shut up' I'm just trying to take a walk!' People are talking in my head. It feels like this overpowering thing when I'm working on a story. It just comes over me and wakes me up in the morning. People wake me up in the morning. They are chattering away. It's very unnerving. I often push back at a story until I am really sure that I have quite a few of the building blocks in place. Because otherwise it just seems like a struggle and a fight. And it's going to occupy - it takes me like 10 ten-hour days in a row for a story.",prompt; highlight; paper,,
,DB,And this is all hand-written too?,prompt; highlight; paper,,
,NVW,Yes.,prompt; highlight; paper,,
,DB,Does your hand cramp up?,prompt; highlight; paper,,
,NVW,No.,prompt; highlight; paper,,
,DB,I guess your thinking and then you're writing down and then you're thinking.,,,
,NVW,Yeah. I don't know about the hand but the brain ..,,,
,NVW,"And then, it's so much&#8230; Because I don't&#8230; I don't know how other writers do this but because I'm not writing the scenes in order, I'm kind of deliberately writing them out of order. I write the scene I see most clearly in my mind first and I'm not worrying about where it's going to go. Then I just put the whole thing away for a long time-that initial mess of a draft-and worry later about kind of arranging the scenes. I'm often moving things around not based on when they happened but what's more interesting to come next.",revision,,
,DB,"OK, and so when did&#8230; Were you studying fiction as well as poetry in your graduate school? When did you start to write these stories?",,,
,NVW,"I did take up a fiction writing class in grad school. I was in the poetry group but we had to take a fiction class, and I was terrible. I was terrible at it because I didn't have any sense of what made a story. But when I started teaching, especially when I moved to Lake Forest College, they thought, ""well any poet can teach fiction writing. It's debatable if we can get a fiction writer who can teach poetry."" So, they hired thinking that I could figure it out.",career,,
,NVW,"So, I think I just accidentally taught myself to write fiction by trying to help my students make their stories better and trying to diagnose: 'What does this story need?'",career,,
,NVW,"I remember so many days walking to my fiction writing class and trying to think about what I was going to say to this writer about her story-how to address its troubles-and I realized that I was internalizing all of this. And then the first time I got a sabbatical, I remember I was driving into Chicago for a little adventure for the day (and I was so happy I had this sabbatical I was going to work on poems, of course) and I got this idea for a story. I remember I was just writing on my car seat while I'm driving-just this little note to myself about what the story-kind of just a synopsis, like one sentence of what it would be. By the time I got in to Chicago, I had 5 story synopses written on this piece of paper, and then I just came home. That's what I did for my whole sabbatical-I wrote a bunch of stories and that was the 1st book of stories. Limited Lifetime Warranty, it was called.",career,,
,DB,"Yeah, and what year was that?",,,
,NVW,I think that was like 1983 or so.,career,,
,DB,"OK, and so you've been&#8230; Stories kind of happened to you. And they've been similar the whole time that you've been writing?",,,
,NVW,Uh-hmm',,,
[00:23:00],DB,"Have poems, in similar ways, come upon you? Or is it a different process than that?",prompt;,,The Daily Process/Practice of Writing Poems
,NVW,"Poems are more like a daily practice for me. I like poems. They don't&#8230; For me, they're more about sound and imagery, voice. Who's talking in my poems-They're often some part of me that I didn't really know it was there. You know, some aspect of personality that I'm kind of exploring who uses a language a different way maybe than my ordinary daily life self.",prompt;,,
,NVW,"So, I like that kind of quick pop of a poem.",prompt;,,
,DB,"Do you start mostly with a line or an image, or does it change?",prompt;,,
,NVW,I like a line with an image in it.,prompt;,,
,DB,OK,prompt;,,
,NVW,"I like&#8230; One time I was writing an article about Charles Wright's poetry (I really like Charles Wright), and I said something in there in the review about: ""the hand of the image in the glove of sound."" I took that out of the review because I thought that sounded a little precious or something, but for me I like that kind of thought&#8230; They're sort of indivisible.",prompt;,,
,NVW,They come together.,prompt;,,
,NVW,"But I remember talking to Charles one time and I asked him a lot of the same questions you're asking me about composition because I was taking him to the airport after our reading and I'm plugging him for everything he can tell me about how he works. He says, 'Well, you know, after I do 3 or 4 drafts then I'll turn it over to my ear.'",revision,,
,NVW,I liked that.,revision,,
,NVW,"He said, 'I drive around town and do errands-go in the store, stuff like that and I memorize the poem I'm working on and then I just start moving the words and the lines around, and then I start moving the lines and the stanzas around. Just kind of trying to figure out. I'm listening to the sonic values.",revision,,
,NVW,I liked that. I'm doing that.,revision,,
[00:25:40],DB,"So, I guess that's a good space to move on to revision. I mean, so when you're revising a poem, are you revising mostly by sound, or the sonic values, or are there different stages?",revision,,REVISION
,NVW,"Well, you know, every poem just presents different troubles to me. I guess these are some of the questions I have to ask myself (but this is just for me. I don't know that these would be other people's problems by any means but). I'm asking myself, 'Who the heck is talking at this part? Who is this person?' Because sometimes I just- And I mean that in a physical, literal way. I have to see a figure almost. You know, maybe it's me, but it's me when I'm 12, or it's me with big, red hair.",revision,,
,NVW,"So, I'm asking: Who is this person? Where is she, or he-sometimes I think I'm in a kind of gender shift. I like that because I was a real tomboy as a little kid. I think I kind of squashed that little tomboy down and he likes to come back and say things once in a while. He's a little bit of a sassy, snotty kid. And I like him!",revision,,
,NVW,"So, who is she; where are we in the poem? I need to get located in time and space. And what the heck is going on? What dramatically is happening in the poem? A lot of times I'll have a fix on one or the other of these questions and am really feeling unclear about the others.",revision,,
,NVW,"So, I kind of know questions to ask myself, and that's what I do in the really early stages of drafting a poem and trying to figure out the answers to some of those.",revision,,
,DB,And how do these questions translate into the basic physical manifestation of your writing? Are you still in your notebooks working with this?,revision; paper,,
,NVW,"Yes, still in notebooks",revision; paper,,
,DB,"And are you writing these questions in the pages, or&#8230;?",revision; paper,,
,NVW,"No, no I'm just&#8230; What I'm doing is I'm just giving my imagination a chore, a task. I'm staring in to space and trying to see: where is the set; where is this unfolding? Trying to give myself-",revision; paper,,
,DB,"I'm interested in this material, and I'm realizing-",,,
,NVW,"That's right, you're a poet, too.",,,
,DB,"But I mean it's also like, [writing] happens so much up here [in the head]. It doesn't happen on the page-it doesn't happen. It happens a lot, a lot just going to the store and thinking about things, listening to your own sounds, which is another hard thing to document, or to sort of record.",revision,,
,NVW,"Yeah, and see, none of this takes place with fiction. With fiction, you sort of have that. You got all that as you walk in to the first scene.",revision,,
[00:28:50],DB,"Right, well then, what is your mode when you're revising a story? Like how do you work through the drafts of a story?",revision,,Story Revision
,NVW,"Well, with a story I'm really I really think a lot more: why does this happen? or why did this happen? (in the past tense). I ask myself a lot of questions about motivation, with characters, on what their relationships are like; how did they get to this moment. I'm often trying to think about some details or back story.",revision,,
,NVW,"Again, all these things--it's really helped to have heard myself ask my students these questions for the last 30 years because they're kind of in there.",revision; career,,
,DB,I bet.,,,
,NVW,"Yeah, the questions to ask yourself- But I think what I'm mainly doing once I have addressed some of these questions, mainly have to do with interiority, and psychology of people. In revision, I'm just trying to get the story to move along. I'm really paying most attention to the pace, and I think in that regard, now poetry and fiction maybe have a little more similarities when you get to that stage of revision where you're really starting to tighten.",revision,,
,NVW,(Are we there now? Is that what we're talking about?),,,
,DB,"(Yeah, absolutely)",,,
,DB,(OK),,,
[00:30:30],NVW,"So then with a poem, I slash mercilessly. I'm a slasher, and I move things around, but often when I'm moving around, I've got too many lines on the landscape, on a row here. I've got 10 lines about the freaking place where we are, that's boring. But sometimes I won't cut them-I'll just take 4 of them and put them in a different place. I don't worry too much about like how to get back there because that's easy to do later.",revision,,Poetry/Story Revision
,NVW,"Same in fiction, I'm really thinking about pacing. I'm thinking about- The opening of the story, I'll just start with a scene that we're going to catch back up to in the middle because it's got some interesting dialogue or something interesting that's going on with the characters. I'm going to start there and then circle back, and then catch back up to it midway through the story, 'Oh, here's where that scene comes.'",revision,,
,NVW,"That's typical for me to move around like that. So, I'm just going, 'OK, we've got to see the dialogue. Now, we're going to have: how did these all start. Now, we're going to have a scene where we've got some dream or some thinking. Now we're going to go back to dialogue.' I'm just kind of having some syncopation of pacing things.",revision,,
,DB,"And that kind of happens throughout your books, too, right? Not only within the story but within a collection of stories- there's sort of that same repetition of images, repetition of scenes. Or not repetitions, but kind of allusions to the same place and time and space.",mss; revision,,
,DB,"So .. When you're revising the entire book, or when you're putting together the book itself, is that also happening?",mss; revision,,
,NVW,Yes.,mss; revision,,
,DB,"OK, so have these modes of revision that sort of focus on pacing, the moving around and changes, have these changed over the course of your career? When you were first starting out writing, did you have to come to this kind of way of revising, or was it there from the beginning?",revision,,
,NVW,"No, it's been a slow, gradual process.",,,
,DB,"OK, and then in the beginning &#8230; Were you doing it more by the book, so to speak &#8230;?",,,
,NVW,"Oh, gosh. I don't know how I was doing anything at the beginning. You know, my first book of poems, I had help. I've never had an editor again like I had with my very first book.",early; mss,,
,NVW,"Larry Lieberman at the University of Illinois Press. He weeded out some of the weaker poems but also helped me to shape up some new things I was working on, and put them in. Helped me with the arrangement and, you know, I've never had help like that again. But that was very instructive to me. He would write me these interesting little letters where he would explain why he thought this ought to go here, this go there, and this stanza needed to be gone, this was stupid &#8230;",early; mss,,
,NVW,"It was just so helpful to have somebody be such a close reader with me. I've never had that again, ever.",,,
[00:33:56],DB,"So, do people play a role in your revision process now, or is it pretty much just you?",,,Roles other people play in the revision process and Story Collection/Novel and Book revision'
,NVW,"Well, my husband reads everything and he's a really, really tough critic-really, really tough.",,,
,DB,That's good to have.,,,
,NVW,"It's very good, but&#8230; he's a smart reader and he also kind of know what I'm capable of, and if I don't measure up, he'll tell me.",,,
,DB,"Yeah, so you don't&#8230; you're not corresponding with other writers with poems, or&#8230;?",,,
,NVW,"I have a couple of fiction writer friends that I have shared work with. A novel&#8230; I had a 2-book contract with the book of stories before this one, and they wanted the second thing to be a novel-the publisher who I told you they decided they were going to go quit fiction",mss; career,,
,DB,"Right, right",mss; career,,
,NVW,"--fiction. They wanted the 2nd book to be a novel. So, I tried three times to write a novel, and I got 200 pages in three times. I showed a couple of those books to friends who are fiction writers and they confirmed for me what I thought was true. The way I phrase I phrase it to myself is: they didn't have a big enough engine.",mss; career,,
,NVW,I like short stories-,mss; career,,
,DB,I know. I'm not-,mss; career,,
,NVW,I like the go-cart.,mss; career,,
,DB,"I like short stories, too. I was struck though in Quake &#8230; I was reading that and I thought&#8230; I mean, it read to me and felt to me a lot like the way that Jennifer Egan's Visit by the Goon Squad worked, in that separate stories were all kind of investigating certain kinds of dilemmas and interesting kinds of metaphorical or metaphysical ideas.",,,
,NVW,"Well, thank you. I like that Goon Squad book, too.",,,
,DB,"Yeah, well, I mean, what if she'd called this a novel&#8230; I mean, I was just wondering. It's not&#8230;",,,
,DB,"Anyway, there's just&#8230; It's just very arbitrary, but it seems like you composed them very much kind of separately but they are related, right? I mean, they're linked stories.",,,
,NVW,"Yeah, they've all been linked.",,,
,DB,Yeah,,,
,NVW,"I really love all the different possibilities of ways to link stories, but in terms of the engine, I like a little small engine that I feel like I can fix what's wrong-with the little, small engine.",mss,,
,DB,"Yeah, I get that.",,,
,NVW,"And I don't know if I could&#8230; The novel thing, it's kind of overwhelming for me to think about how much you have to sustain; how much it needs to drive the big novel.",,,
,DB,Right,,,
,NVW,"I love novels. I love reading them, but I'm intimidated by the arc, how huge it needs to be, and how much (maybe) you need to know before you sit down.",,,
,DB,"Right, there's a certain research part of it.",,,
,DB,"Does your writing entail any sort of research, historical or otherwise&#8230;?",,,
,NVW,"Yeah, Quake was a good example. I loved doing all that research on the gypsy culture and the country-I just loved that, and that just really fed my stories when I was working on it. And this new book that has a dinosaur dig in it, that was really fun. My husband and I went on a dig in Montana. That's part of the research for that. It was fun.",,,
,DB,"Did they just have that like dinosaur versus dinosaur discovery, or something, this summer? Did you see this?",,,
,NVW,Eh-hmm,,,
,DB,"Like this private digger found these perfectly reserved fossils of like a tyrannosaurus rex or like stegosaurus like right next to each other, they must've died like mid-fight. And they sold&#8230; Like instead of giving it to the Smithsonian, they sold it at auction for some ridiculous price.",,,
,NVW,Really?,,,
,DB,There was some sort of debate about that.,,,
,NVW,"Just like a couple of femurs or something, or a couple of&#8230; Or the whole--?",,,
,DB,The whole,,,
,NVW,--the whole features? Wow!,,,
,DB,"I mean, it was just like an insane find in the Montana's bone district.",,,
,NVW,"Well, what I understood was&#8230; This isn't pertaining to your thing but what I heard was that all those glacial floods (what happened) and they basically washed all these bones over. So, there'd be like this giant bone bed of 20 different species just because they've been washed by the flood like that at the same place.",,,
,DB,You probably know more of that. I just thought that was sort of exciting. ',,,
[00:38:43],,...,,,"Modes of Revision in Poetry, moving from page to computer'"
,DB,"I guess a couple more questions about revisions. One of the like&#8230; I've been reading this book called The Work of Revision which is really an interesting book kind of tracing the history of revision from the Romantic up to the Modernist Period, and then kind of like how textual criticism works with it. She was&#8230; Her name&#8230; Hannah Sullivan wrote it, and she was sort of delineating kind of three modes of revision. One being a creative or additive, like Joyce adding all this stuff to Ulysses, and then this sort of excisive or subtractive way that you seem to do, and then there's that sort of substitution. And I'm wondering is there a primary mode between those three that you used for your revision or is it a combination?",revision,,
,NVW,"I would say I really kind of start with the accretion first, and then go in to the subtraction. And then probably this substitution is like a tinkering I do at the very end.",revision,,
,DB,"OK, and physically, where do these processes happen? I mean, when you're taking something away, does that happen in the notebook, or does that happen on the computer, or does it happen in both spaces?",revision,,
,NVW,"Usually, I've excised much of what I'm going to take out before I type it up.",revision; between,,
,DB,OK,,,
,NVW,"So, I probably-as I said, I probably do 2 or 3 handwritten drafts and I'll actually rip the notebook page out. I have notebooks and notebooks where I have a big X through the page so that I do not get confused that I'm actually done with this version, and now if I look hard enough in the notebook, there is a later version of these poems. But I throw the old, ripped up pages in the back of the notebook, and there's a newer version somewhere in there. But the older ones are fatter and often&#8230; I'm also experimenting with line break, then too, with the shaping issues&#8230;",revision; between,,
,DB,"So, just to confirm, you're doing that in the notebook?",revision; between,,
,NVW,In the notebook still.,revision; between,,
,DB,OK,revision; between,,
,NVW,"And then I feel like when I move it to the computer, I'm sort of getting to a place where I want to look at it&#8230; There's something that&#8230; I'm sure you're going to hear this with lots of writers my age-that there's something about when you type it up that starts to make it look permanent, especially for me in terms of the shape of the poem, the line links especially in a poem. I'm less inclined to fiddle with line links once I've got it on the computer. I do that. For some reason it still feels easier for me to do it on the page because like I just stick my slashes in there.",revision; between; printdig,,
,DB,"OK, so once they're actually broken in to lines on the computer, then it seems&#8230; You don't feel like you have that freedom to do--?",revision; between,,
,NVW,"Well, I do. I do.",revision; between,,
,DB,Right,revision; between,,
,NVW,"I do experiment or something. I'll go, 'Oh, this is 15 lines. That's so close to a sonnet. Why don't I help it along?' You know?",revision; between,,
,DB,Yeah,,,
,NVW,"So, then-",,,
,DB,You feel like there should be another term for a 15-line poem.,,,
,NVW,Yes',,,
[00:42:25],DB,"OK, so and then at that point, are the poems ordered into the way you'd like them in the book?",mss,,Poetry Book Revision (Ordering poems into a collection)
,NVW,"Oh, no. Never",mss,,
,DB,"OK, so how's that&#8230; What's that process like?",mss,,
,NVW,"That's just another process of just printing out all the poems and just living with them. That takes, I don't know maybe a year, two, maybe even longer sometimes of experimenting with sections, you know, the arrangement. I'm working right now on a book of prose poems-just really struggling with what's it even going to be in this book, sorting-",mss,,
,DB,"So, there's a number&#8230; So, once you get to the computer, are you putting like all the poems from one notebook in one word file say, or you're putting them in individually?",mss; files,,
,NVW,"No, I don't put&#8230; Each poem is its own file until I really start to make the book as a book.",mss; files,,
,DB,"So, just technically, then you call that file whatever the title of the poem is?",files,,
,NVW,Yeah,files,,
,DB,And then save it in a folder with&#8230;?,files,,
,NVW,"My folder is called ""Poems.""",files,,
,DB,"No, that's fine",files,,
,NVW,"I know, and there are some subfolders in there like-",files,,
,DB,"OK, for a book would you make a subfolder then, or&#8230;?",files,,
,NVW,"Oh, then each book gets its own file then.",files,,
,DB,OK,files,,
,NVW,Yeah,files,,
,DB,"OK, but&#8230; So the poems are kind of in one big folder, and then as they accumulate in to a book then they'll be one file.",files,,
,NVW,"Exactly, and when they get published then I put them in another file called ""Published Poems.""",files,,
,DB,OK,files,,
,NVW,"So, I don't get confused in sending stuff out still.",files,,
,DB,Yeah,files,,
,NVW,"And then there's some old&#8230; You know, I've files called ""Poem '08"" that are just like&#8230;I'm probably not going to do anything with them now, but they're still sitting there.",files,,
,DB,"They're still in there, somewhere.",files,,
,DB,"OK, and is that the same-Does that same sort of transfer happen with fiction, too?",files,,
,NVW,"Yeah, I mean I've got a file in there just called ""Stories In Process."" I don't know if they're going to be a book.",files,,
,DB,You're sort of figuring them out.,,,
,NVW,Yeah',,,
[00:45:05],DB,"So, we'll get back to the computer stuff a little bit more. Let me just sort of talk a little bit-move from revision and talk a little bit more about kind of organizational (and we're already kind of taking about it-these things all sort of mesh in but&#8230;).",,,Where Revision Happens and Poem Revision and Submission'
,DB,"So, I mean&#8230; OK, with the computer then, you know, you move from your notebook and then you type it up. That sort of moment of revision for you, too?",between,,
,NVW,Uh-hmm,between,,
,DB,"And then you have several other different moments of revision when it's on the computer, but some of those happen on paper because you print them out?",between,,
,NVW,Right,between,,
,DB,And then that arrangement happens physically usually first?,between,,
,NVW,"I'll look at it on&#8230; I'll come back to it over a period of a couple of weeks on the computer then (once it's on the computer file) and look at it, probably tinker with it a little bit more before, and then I'll start sending it out probably.",between,,
,DB,OK,,,
,NVW,"So, fairly soon after I type it up-maybe a month, 2 months. There comes a point where I feel like I'm making it worse. My tinkering's starting to make it worse. That's the only thing that stops me.",revision,,
,NVW,"And then I start sending it out, and if the-",revision,,
,DB,"Are we talking about the entire book right now, or are we--?",revision,,
,NVW,"No, just individual poems",revision,,
