timestamp,speaker,words,tags,timelink
,AG:,"No. I mean, you know, I've talked to friends about what the best back-up systems are, and I've talked to people in the computer store about this because of aforementioned bad experiences. I wanted to have like five different systems and really be safe.",,
,DB:,"OK, great. OK, well, that's the sort of ""where are you now digitally"" part. Just making sure everything is going. And, it is. That's great. [To the dogs] Sorry, I made you get up. You need to get up?",,
,AG:,"Well he just needs to know what's going on. Don't you, Ted?",,
,DB:,Yeah.,,
,AG:,You do.,,
,DB:,He's such a cool dog.,,
,AG:,He is a great guy.,,
[00:14:46],DB:,"Alright, so, this is more sort of, broadly-speaking. I have two to start, and then I'll explain a few things, and then we'll go forward. So, how long have you been writing professionally? And I know that's a wishy-washy term, but-",career,886
,AG:,"No. I mean, I'm fifty-seven and I've been writing-you know, I started publishing, you know, small poems in school magazines, you know, back when I was in college, when I was, you know, 18, 19, 20. So if you start it there, then that amount of years. If you start it when I had, you know, my first chapbook, then it would have been like after I finished college.",career,
,DB:,"OK. Well-and this is kind of, I mean, leading up to the next question, which is kind of a broad question-but could you describe kind of the arc of your career? Like, you know, where it started, when you started to write the poems that you consider your poems, and then kind of how it moves through time up to now?",career,
[00:16:03],AG:,"Well, I published a small chapbook maybe a year or two after I finished college when I was 21. So-",career,963
,DB:,And where were you at college?,career,
,AG:,"I went to Pitzer College, which is one of the Claremont colleges there in California.",career,
,DB:,"And then-and you can talk about like who you studied with or anything like that-but  you went from publishing a chapbook and then-? And then your first book was like 1981, or-?",career,
,AG:,"I had that. I was lucky enough to have this guy Dennis Cooper, who was kind of my mentor and friend. He had this wonderful press called Little Ceasar Press, and he did this small chapbook of mine. And then David Trinidad-who's this terrific poet who teaches at Columbia College in Chicago but used to live here for a long time-had a small press called Sherwood Press, and he did another chapbook of mine. And then after that, actually someone who wasn't my friend, who was actually almost a stranger, published an actual non-chapbook. Which is, you know, a book with a thin spine, but an actual spine, rather than staples or stitching.",career,
,DB:,OK. And what book was that?,career,
,AG:,That book was called Early Heaven,career,
,DB:,OK.,career,
,AG:,"So, that was the first one that was a little bigger. And then I went on to publish around thirteen books-some of them chapbooks, some of them actual single volumes of poetry. And then some little odd projects like collaborative book with artists, or collaborative book with a fiction writer.",career,
[00:18:19],DB:,"OK. And during this time, were you teaching? Were you working at other-I mean, I guess, how were you supporting your writing?",career,1099
,AG:,"Well, I was going to be a Speech Pathologist and/or work with autistic kids. I was a child psychology major in college. I was always interested in poetry and loved it, and got to take a couple of classes at Pitzer from this amazing poet-who's not as well-known as he should be and isn't alive anymore-named Burt Myers. But I was kind of on the path to work with kids who had speech problems. But when I graduated from college, I wanted to have some time to work on my poetry because I've just been in school wall-to-wall, like many of us, straight from high school to college. So, I took some time off and I moved to L.A. I was accepted to a speech pathology program at Boston University, but I wanted to meet other writers and I wanted to try to make my writing better. And I started taking odd jobs. I worked for different doctors in the front office and in the back office-washing off instruments, answering phones. And I worked helping take care of a schizophrenic woman. I worked all kinds of funny, odd jobs. And that wanting to improve my writing, and read more, and write more, and learn more about poetry, and come in to contact with other writers kind of turned into my life. So, I'm still trying to make my poetry better and learn more and read more. And somewhere along the way, I got some jobs at a non-profit literary arts center that's called Beyond Baroque, which still exists in Venice. I worked there and in a bunch of different capacities, and at the library-a little tiny library, non-official library. Since you're one of those exalted breeds, a librarian. And I helped with the reading series and events and publicity, and did different jobs there. And then because my friend Dennis Cooper helped me get a little job writing art reviews for this magazine Art Forum, suddenly I was very lucky, and I was writing these monthly art reviews for Art Forum, which didn't pay very much, but it made people think that I was an art critic. So I couldn't get any teaching jobs teaching writing initially, but I did get hired as a kind of art critic. So, I started teaching in art school. And then as I published more and wrote more, and did more different kinds of journalism, I was able to get teaching jobs teaching writing. So, I worked at a bunch of different colleges, and I had a job at a little residency program-a wonderful program-, the writing seminars at Bennington College. So I'd go to Vermont twice a year, and I taught at USC and CalTech, and at my alma mater. I taught at the University of Utah, CalArts. A bunch of different places.",career,
,DB:,"Great. And now, now you're at University of California- Irvine.",career,
,AG:,"Well, I've had this job just for a year, and I was super lucky. I can't believe it-to get that job.",career,
,DB:,"Great. OK. So, that kind of gives us a framework to work in. And then I've sort of divided the sections in to kind of three-like we're talking about the process, and like, the first part, or sort of like the three-part process, the first part being kind of like compositional pre-writing, generative process, the second being revision-sort-of process, and the third, being organizational or archival, the part where you're kind of finishing, putting things in book form, etcetera. And we can talk about it in different ways, but if it works with your style, we'll just-",career,
,AG:,"Yeah, yeah.",,
,DB:,OK.,,
,AG:,I don't have a rubric I need to impose on this.,,
,DB:,"Good, good. I made one up.",,
,AG:,"Yeah, well, that structure is a good thing.",,
[00:22:47],DB:,"OK. And so, what I'm going to ask is sort of like how you work in those structures at the beginning of your career, and maybe how those have changed. So, when you first started writing your sort of more professional work, what were your kind of compositional, pre-writing, note-taking, generative practices at that point?",,1367
,AG:,"Well, this now gets to era and what generation I am, because I'm 57, so when I started writing it was typewriters, you know? I took a type a typewriter to college and it moved from-you know, I took typing in high school-and it went kind of quickly during my little time capsule of when I was sort of coming up. From portable typewriters and little cute cases that were sort of like a big lunch box with a little handle, to increasingly kind of complicated electric typewriters. With all their weird accouterments like carbon paper and white out, or weird-they started making typewriters that actually had a correcting tape in them. It was like white and you would type over the letter that you wanted to correct with this white, chalky strip that was in there as part of the typewriter. Before you had to like shove a weird little piece. So, all these kind of very low-tech-viewed in hindsight-ways of dealing with making texts, correcting texts, revising texts, and also copying text. And then to the first sort of big-I remember when, you know, I first got a computer. It was sort of like, you know, I was ZZ Top. I had a tall music system here-it was this big, bulky thing, and there were things that went under the desk. And the printer had like-the print was really ugly looking. Dot-?",early; paper; between; highlight,
,DB:,Dot matrix.,early; paper; between; highlight,
,AG:,"Dot matrix. And it had these weird strips with holes that you tore. Then to, you know, this sleek, little improved several generations of smaller, better computers and printers.",early; paper; between; highlight,
,DB:,"Yeah, and so, I guess, when you were still working with typewriters and the early computers, how were you creating, let's say, the poems? I mean like were you starting in a notebook and then moving, typing them out? Were you handwriting them and moving to typewriter, or did you start-?",early; paper; between; highlight,
,AG:,"When I started writing poems when I was a kid-before I had access to a typewriter or learned to type-it was, you know, spiral-bound, lined notebooks. And then it kind of moved to typing things, which you'd think would have made me revise a lot, and I did revise, but I love computers. Every time you wanted to change a period, or move texts around, you had to retype everything. And you were sometimes dealing with these crappy kinds of paper like that onion skin-it was erasable, but it was so like thin and fragile and weird-looking, and tactilely bizarre, and kind of see-through-y. And made the poems seem like they were really not substantial. Smeared easily.",early; paper; between; revision;highlight,
,DB:,"So like when you had an idea for a poem, you would go directly to your typewriter and start typing, usually?",early; paper; between; revision;highlight,
,AG:,"I think I would write in notebooks and then at a certain point transfer what I had to the typewriter. Because the typewriter was something-it isn't actually easy to revise on a manual typewriter. I mean, you have to roll the thing out and mark it up. There really isn't an efficient way of marking things out, or inserting a list of possible words you might want to use instead of the word choice that you had. So, I think I would work on it up to a certain point and typing it was sort of like, ""Oh, this is kind of an official draft. I really want to-""",early; paper; between; revision;highlight,
,DB:,"OK. So once you hit that point, and then you were starting to take shape to the real thing.",early;paper;between; revision;highlight,
,AG:,"Because typing something now-putting something on the computer makes it ultimately flexible, but it was sort of the opposite with the manual typewriter. It wasn't set in stone, but it was sort of typing it up-",early; paper; between; revision;highlight,
,DB:,"And you're saying, too, that once it was that you got to the typewriter stage, it didn't encourage that much revision because-?",early; paper; between; revision;highlight,
,AG:,"I did and I have old things that are, you know, typed scripts with lots of markings on them-blah, blah, blah-but it's just that revision on a computer is kind of a one-step process, in the sense that it stays within that medium. But in order to revise on a typewriter, you had to roll it out. You had to get a pen, you had to get white out, maybe you had to get an eraser. And then you had to put the changes on a new, clean-",early; paper; between; revision;highlight,
,DB:,"So, you would try to make-I mean, once it got to where you were doing that, it was pretty far along.",early; paper; between; revision;highlight,
[00:29:31],AG:,"Typing something up would be like a milestone every so often when you've been through a few drafts-to see it typed up, and to mark that up.",early; paper; between; revision;highlight,1771
[00:29:38],DB:,When did you start to work on computers? And those early computers-did they did they feel like a drastic change?,early,1778
,AG:,"Oh, having this big machine, figuring out how to use it, and figuring out what it all meant, figuring out what a ""word processor"" was? You know, and it would have problems, and getting some dim concept of what an operating system was-DOS?-all these different things. And it really divided the sheep from the goats, because there were writers I knew who had the kinds of minds, or still do, that really worked well with computer interface, if that's even the right vocabulary. They just took to it. And there were other people who were always-it was always mysterious to them. It always felt foreign and robotic and bizarre, and they preferred other things, or were just always awkward with it, or always needed a lot of help. Who needed an intermediary helping them with their computer.",early,
,DB:,And some still have that-,early,
,AG:,"No, I mean, computers are a particular thing, and if you have the kind of mind that works well with them, you can just zoom and you can device-up. And kids now, younger people now-who are born in to various stages of, ""Well, it's the most natural thing in the world""-you know, you get your first iPhone when you're 4 months old. It's, you know, a language that they learn. It's a native language for them. But for some of us older people, it was... You were lucky if you were the kind of writer who... And I know people who... The wonderful poetry teacher that I had at Pitzer, Mike Harris, said that he liked the computer, and the typewriter. The feel, the pace, the sound of the keys. It's almost like a musical instrument for some writers. They kind of play it, and-",early;highlight,
,DB:,"But for you, that was never-",early;highlight,
,AG:,"What I like is I can take a chunk of text and move it up here and it doesn't take me 40 minutes to retype the whole damn thing. And if I don't like it, I can try it down here. And if I want to print out a copy of something as a prose poem, and a copy of it with some line breaks, and look at them next to each other, I can do that in a flash. All that? I couldn't be happier. Because then I'm spending my time reading and writing and revising, and not spending my time [makes typing sound]. ""Oh! Now I have to do the whole thing all over again!""",early;highlight,
[00:33:00],DB:,"Yeah, so, I guess then, when they did come along you were in that spectrum of people who took to it fairly easily?",,1980
,AG:,"I can't say that I'm techno-great, but I like computers.",,
,DB:,"You didn't employ-I guess, employ's the word-employ an intermediary between you and your computer?",,
,AG:,"I have friends who are tech-wizzes who I definitely-when I'm like, ""How come all my email is now being spit back in to my box that I already downloaded, and I have 695 pieces of email?"" You know, when I'm like, ""Help!"" I do that all the time. Or, ""How do you make Word, you know, not turn everything purple, or-?"" But I'm probably in the middle, I think of the spectrum. I wish I was one of those people who just understands everything at all levels, and could set up a website, and knows about programming, and can fix my own computer, and speak the lingo. But-I'm attracted to that and I'm interested in it. I'd like to be more conversant, but I can't say that I'm great. But I'm not the super scared, like, ""I hate this thing. I have four manual things in the closet because that's what I really prefer.""",,
[00:34:25],DB:,"OK. I guess, can you pinpoint a timeframe when you started with computers? I mean, do you know where you were?",,2065
,AG:,"Well, I remember when I was in college, a guy who I'm still friends with-this wonderful guy named Bryan Tucker who's a visual artist and also a very good art writer-he was one of those people who was like, the computer thing, it was like made in the shade for him. When we were in college, there was a computer there, but it took up a whole room, and he would like go in there and make things, and print things out. But there was a while between when I graduated from college in the 70s and when computers were sort of starting to make their way in to writers' lives, like in to their homes. So, I started probably-it would probably be the very beginning of the 80s, maybe, would be my best guess.",early;highlight,
,DB:,"Yeah. And I guess, how long did it take you to realize that you had these sort of capabilities that you'd maybe been wanting that you didn't even know, like the ability to move things around? I mean, was that initial, or did that take a couple of generations to where it felt really easy to do all that sort of thing?",early;between;highlight,
,AG:,"Well, some things-there were certain perks that manifested pretty immediately, like just having a copy of the thing and being able to print it out.",early;between;highlight,
,DB:,"Yeah, that was pretty amazing.",early;between;highlight,
,AG:,"Right away, that was like, ""This is way better.""",early;between;highlight,
,DB:,OK.,early;between;highlight,
,AG:,And being able to correct things and move them and change them.,early;between;highlight,
,DB:,"And that was immediate, like that was-?",early;between;highlight,
,AG:,"I mean, those are things that rudimentary computers-if memory serves-were able to do.",early;between;highlight,
,DB:,"Yeah, copy and paste being the-",early;between;highlight,
,AG:,"Yeah, you didn't have to like, you know, be the best friend of the Xerox machines always anymore. Right away, that's a life improvement.",early;between;highlight,
,DB:,OK. And what were you using the Xerox machine for?,early;between;highlight,
,AG:,"If you wanted to send work out-I mean, this is pre-email, right? I mean, this is-You're making me feel such a dinosaur, antique! But that was inevitable.",early;between;highlight,
,DB:,"No, no!",early;between;highlight,
,AG:,"You know, so, if you wanted to apply for a grant, if you wanted to show somebody a copy of something, if you needed to send somebody a copy of something, if you wanted to send out a manuscript, if you wanted to send work to a magazine, all of that involved either carbon paper-yuck-or Xeroxing, right?",early;between;highlight,
[00:37:25],DB:,"OK, so that was kind of an early, organizational sort of work, there. So, you have this sort of beginning stage, you know, where the computer is this kind of revelation. Are there kind of stages between then and now that you could delineate, or is it just sort of a gradual-?",,2245
[00:37:50],AG:,"I mean, there are so many wonders as far as I'm concerned, and if I was more tech savvy than I am, I would be conversant with even more wonders. And it's just not for writing, although that may be your topic of interest in data collection here for teaching, too.",,2270
,DB:,Right.,,
,AG:,"It's unbelievably helpful. [Telephone ringing.] I mean, it's just changed teaching completely, with PowerPoint, email as a way of distributing class materials or communicating with students, and blah, blah, blah. And in terms of writing, every time there would be-the smallness of this, the portability of this, its different capabilities, visual stuff, being able to put visuals, being able to have access to all these typefaces. I mean, it just looks better and better. Now, it's wireless. I don't have to plug everything in to... I mean, to me, the blessings and the bounty are just-for me, I'm not sensing that there's a loss. It's like there might be a downside in terms of polluting the world with what these things are made out of-that they're not recyclable, things like that. And that is a Bad Thing, capital B, capital T. But in terms of making it easier to store, send, revise, read, research, communicate-you know, what's not to like, in my view?",,
[00:40:09],DB:,"And your poems have such a large, imaginative scope. And I'm wondering, was there a time like when you were first using computers, you know, not so much the internet-how were you generating all those ideas and material at that point?",prompt;highlight;early,2409
,AG:,"Dude, libraries!",prompt;highlight;early,
,DB:,"Libraries, alright!",prompt;highlight;early,
,AG:,"Libraries, libraries, libraries, and you know, old used book stores, weird old books that I would look at, or magazines. Stuff like that.",prompt;highlight;early,
,DB:,"And as the internet became more sort of part of one's daily life, did that change?",prompt;highlight;early,
,AG:,"Yes, I still use libraries, and I still haunt the remaining dusty, old, funky, used bookstores. But even with libraries now, if I'm looking for something specific, I can look online. It just saves time. You know, I don't have to trudge around to all the local libraries looking to see if they have any books on Marie Curie, or if they have a particular title by so-and-so. I can see if it's in the library. I can find out what the library hours are. I can talk to a librarian if I need to.",prompt;highlight;early,
,DB:,"How do you go from, you know, browsing serendipitously to like having a draft of a poem? What's the process there?",prompt;highlight,
[00:41:52],AG:,"Well, I get ideas for poems, and sometimes they're phrases or sort of topics, or weird feelings, or vocabularies, or I want to write a poem based on the initial sort of generative impulses-""Oh, this has to do with hurricanes and my mother-in-law."" You know what I mean? Or something like that. And I love research. Research is, to me, such a rich, poetic, amazing exploration, and is full of the unexpected. Like-this is another thing that relates to sort of digital stuff, at least in my mind-one of the only things I miss about pre-digital is card catalogs, because, thumbing through a card catalog, I would be taken on many more weird tributaries than I get doing a computer search in a library on whatever. You know, I'd be looking up the history of ferns or something, and I'd come across the history of shock treatment, and I'd be like, ""Oh, that's way more interesting than ferns. What do we got here?"" And then go find that book or something. So, that I kind of regret, the way computer indexes are set up. It's actually a little harder to find things, I think, on topic. But anyway-I'm talking about going off on tangents and research, and I just went off on a tangent.",prompt;highlight,2512
,DB:,"No, that's fine. I guess one question I have is, you know, I mean, research for a poem seems like it would be different from research for, like, a journalism piece.",prompt;highlight,
[00:44:06],AG:,"It is. It's imaginative research, in a way. And I think the research is done differently and also has different objectives, so you kind of pursue it differently, and you sort of glean different things from it. In researching, like for journalism, you're usually looking for facts and sources, and different kinds of information, and where different kinds of information are, or what the scope of an issue is or the subject is. In poems, it's sometimes really vocabulary, like a certain diction, or bits of color in a kind of structure. And sometimes it's facts that are going to get bent or distorted, or rubbed up against another set of facts, or data, or vocabularies, or made-up stuff. If that makes sense.",prompt;highlight,2646
,DB:,"No, it does. It makes a lot of sense. And so, I guess, in comparison, then, would you say that, like for your research-your journalism research-do the computers really sort of aid that? Because it has some more specificity, I guess. But you're saying you miss the sort of broader research.",prompt;change,
,AG:,"For poetic and literary kind of research, I definitely miss the kind of strolling through the card catalog and all the different little blooming subjects that you would come across. Although, occasionally, in doing any kind of research-even a very sort of scholarly or fact-based project-you would come across something useful but that wasn't something you were looking for specifically, something that you didn't know was going to be there. Whereas that would be serendipitous in a kind of journalistic- or factual-type research, and it would be totally the point in more poetic or literary research may be.",prompt;change,
,DB:,That's interesting to think about.,prompt;change,
,AG:,"Although they both partake, I think, of each other. Like sometimes, in doing sort of ""poetic"" research, if you're really just like, ""Yeah, but I need to know five things that bears actually eat for this poem so I can pick one that sounds good,"" you can find that.",prompt;change,
[00:47:00],DB:,"Yeah. So, the sort of final question about this sort of early, generative stage-is there any way that you're working now that is new, that is not different than the way you worked in the past? All this sort of ease of printing and revising, or just sort of generating-the internet, and everything kind of being with you at all times-has that changed your ways of making poems, or-?",prompt;change,2820
,AG:,"Absolutely! It absolutely has. I mean, I go to the library less because there's so many things I can access online, and I can print them out at home, or parts of them. I can, depending on what their security and parameters are like, I can sometimes lift a phrase I want to use out of a website and put it right in to the poem, which is very convenient. And then tinker with it, or whatever. Yeah, there's so many things. I can grab images. I can look at images. If I'm like, ""Ah, I wanted to describe a crow's foot, but what does a crow's foot look like?"" I can look at an image of a-yeah. And then if I do that, if I'm Googling that or looking at that, it'll also come up like, ""Oh, yeah. Crow's foot also means, you know, the lines around your eyes,"" and then it'll show me images of that. I mean, that'll send me somewhere in the poem.",prompt;change,
[00:48:22],DB:,"So, there's a type of serendipity in that, I guess, a little bit, too.",,2902
,AG:,Sure.,,
,DB:,"Yeah, sort of pun.",,
,AG:,"But, I mean, in poems, as you well know. The pun is often a welcome fellow. At least in my world.",,
,DB:,"Yeah, absolutely. I guess I'm sort of interested, personally, in that middle period, like the period, let's say, before Google. Let's say like late 90s. I mean, like, do you remember like what the computer use was like then? I mean, do you feel like it was like a limited kind of expression of itself for you, or you were still using the library and primarily using it more as a composition tool?",change;highlight,
,AG:,"It felt kind of a transitional time-like, using both, getting comfortable with email. Because also, doing journalism, that was a big thing-like turning things in that way.",change;highlight,
,DB:,"Yeah, so that must have changed. Yeah, that's got to be a big change.",change;highlight,
,AG:,"Big, big difference.",change;highlight,
,DB:,Yeah.,change;highlight,
,AG:,And doing edits that way.,change;highlight,
,DB:,"Oh, yeah, like going back and forth so you didn't have to-much quicker",change;highlight,
