timestamp,speaker,words,tags,timelink,sectiontitle,youtubetime
,,"Was thru with the Ph.D. in 1965 at a time when white males got jobs in the Academy, so I took the job at Irvine and began teaching on the Fall of '65 there. Understood at that time that I had 6 years to complete a book that would get me tenure, and at that time, there weren't poets getting tenure by writing books of poems. So, it seemed as if what I needed to do was continue the critical, expository writing that I'd done as a Ph.D. student in English and American Literature. I wrote and published 4 essays out of my dissertation. They weren't exactly a book. I could've turned them in to a book but after about 2 years in the job, I started writing quite bad poems&#8212;and they continued to be bad poems until I'd completed a book of them. I submitted it for publication. It was accepted. It turned up in the mail. I sat down and read it, and it confirmed what I knew about it which was that it was a really bad book of poems.",career,,,
,DB:,And this is?,,,,
,JM:,This was in 1971 that the book turned up&#8212;but it got me tenure!,career,,,
,DB:,"This is the ""Against the Falling Evil""?.",,,,
,JM:,Against the Falling Evil,career,,,
,DB:,OK,,,,
,JM:,Yeah,,,,
,DB:,It had some good poems. It had the Vegetables,,,,
,JM:,"It had the Vegetables in it, and",,,,
(10:00),,"that was important to me in the sense that it gave me a standard that I wanted to live up to in anything else I kept after that. So then I had the great, good fortune of being able to have it take as long as it needed for me to write another book. I wrote the second book which I still like, and then I've gone off from there. With the kind of interruption in the writing of poetry, I finished 4 good things in the late '70s&#8212;it was published in 1980.",career,600,Publication history of poetry collections and critical work on Ulysses,
,,"And then I wrote a book on Ulysses. I needed to teach myself how to write a paragraph. I didn't know how to write a paragraph. I knew how to write a paragraph in graduate school prose, but not a paragraph. Those are different things, so that took quite a while. I didn't understand it&#8212;that's what I was doing at the time. I didn't understand that I didn't know what a paragraph was, but because I was meaning to be dealing with the content of what it was I was wanting to write about. It took about 4 years just to get that formal understanding in place about how to write a chapter of paragraphs.",career,,,
,,"So, I worked on the Ulysses book uninterruptedly about 10 years, and then didn't go back to writing poems until it was finished. And so, I finished it about 1990, and then I'd been working on poems ever since then.",career,,,
,DB:,"And since then, you've published 3 books?",,,,
,JM:,"I've published Each in a Place Apart, The World At-Large (which is New and Selected, and it's only about a tenth of that book is new), and then Capacity (which is published in 2006). And, I've just completed another book called If You Can Tell.",career,,,
,DB:,If You Can Tell. Do you know when that's coming up?,,,,
,JM:,I'm guessing it'll be within the next 2 years,career,,,
,DB:,"Great, great! That was good.",,,,
0:12:50,DB:,"So, generally, I've kind of broken these questions in to 3 stages of the writing process - the compositional stage, the stage of revision, and the organizational/archival stage. That is my own kind of box for these things. If you think those do not fit your own personal writing style, we can kind of go through these in different ways. But if that sounds OK, then we can start. But, if anytime like, ""Well, this doesn't make much sense,"" and you can go back and revise&#8212;because we talked about one thing in one section doesn't mean we can talk about that one thing.",,770,Relationship of organizational/archival activities to writing process,
,JM:,"I understand the 1st two of those&#8212;they seem perfectly clear, but what would the archival...?",,,,
,DB:,"I would say that would be once you've revised poems or critical writing (or probably books of poems) in to more of a final state, how do you deal with organizing your collection; how do you deal with the more minutiae of saving them and making sure they're together, and then sending them off&#8212;kind of more the business part of it.",,,,
,JM:,I guess I asked because that's going on all the time in what I think of as the 1st two stages.,,,,
,DB:,"OK, so maybe we'll just address them in the 1st two stages, and it's not that...",,,,
,JM:,Yeah,,,,
,DB:,Maybe I have a couple of questions from that section but they won't be much.,,,,
,JM:,"I mean, this may just be parenthetical but, for me, since I tend to work in an extended (what can seem like) book length forms almost all the time, then any individual poem I'm working on has a necessary relationship to everything else I'm imagining. It's being with, and so that's part of what you're describing as archival&#8212;would have to be kind of in front of me all the time. So, that may be part of why it seems to me that it's&#8212;",highlight;,,,
,DB:,"No, that makes total sense to me.",,,,
,,[That'll be,,,,
[00:15:00],,(15:00) a good shot&#8212;just my neck],,900,Early career writing practices and difficulties,0h15m00s
,,"So, let's start with talking about kind of the compositional- the writing, the pre-writing, the generative parts. I know that reading has a quite a lot to do for you.",,,,
,JM:,Yes,,,,
,DB:,"I'd like to start when you first started writing, and I guess part of this will be kind of tracking the changes in your process. So, like if there were certain ways you worked in the beginning, did those change, and then, did they change again?",,,,
,,"So, when you first started writing, would you kind of describe your typical compositional (pre-writing, drafting) practices? Yeah, when you first started writing... And when would this period be?",,,,
,JM:,"I guess the early 1960s, when I was still an undergraduate&#8212;I was writing. I mean, if the poems that I wrote before 1970 were bad, those poems were awful (they were worse), and there weren't many of them. Soon after I'd started writing poems, I was in a Ph.D. program. And even though I had a Stegner Fellowship for one of the years that I was there (which entailed taking writing workshops), the workshop wasn't anything like the workshops that you and I know in the sense that not much went on in them. There were maybe four people in the room&#8212;not much got said about them&#8212;and it was a very minor part of the four years that I spent getting a Ph.D. So, the bulk of that work was reading and writing essays, and having conversations with my wonderful peers that were there.",career,,,
,,"So, I didn't have any reliable habits as a writer of poems&#8212;I don't think&#8212;until I was maybe two years in to the job at Irvine. So, I'd say 1967 or something like that.",career,,,
,DB:,Great!,,,,
,JM:,"And then, whatever it was I was doing wasn't working&#8212;and I think it wasn't working because what I was needing to do was convince myself that I knew how to write a poem. So, the substance of the work was completely inverted in terms of it being a working out of my need to prove something to myself that I couldn't prove. I couldn't prove it because what I was proving to myself was that I didn't know how to write a good poem. That went on for 3, 4 years, and I think there wasn't anything I could alter until I asked myself if there was something I needed to write about rather than just my own insecurities as someone who didn't know how to write a poem.",career; prompt; change; highlight,,,
,DB:,"Then so, after you wrote that, or sort of started to ask yourself that question and you started to write the poems that you considered your good poems, in terms of the sort of minutiae of your writing process, did that mark a shift? Or was there always a sort of way that you approached the writing and that kind of gradually expanded? Or...",,,,
0:18:46,JM:,"There had to have been a shift that since before writing the Vegetables (which is a poem about the impact on me of my mother's death when I was 11 years old). Prior to having that as matter to write about, I wouldn't have been able to identify a phrase that I came up with that was good enough (there's no other way to say it) to keep. I come up with phrases and I didn't have the acumen to be able to tell that this phrase was better, was",career; change,1126,The Vegetables' as guiding model and Generating in Book-Length Terms,
[00:20:00],,"(20:00) enough better than the accompanying phrases that it could supply me with an example of what I had to bring everything else up to. So, I was just putting stuff together, and there it was&#8212;it wasn't any good.",career; change,1200,,0h20m00s
,,"After I wrote the Vegetables, I had a standard that I had to apply all the time. And once it was in place, then I had something to work with besides form (I had form, too, but I had form before when I was filling form with bad phrases). Then, I felt more equipped, to know what to keep and what not to keep.",career; change; highlight,,,
,DB:,"So, how were you then able to generate those phrases? Like, how were you able to generate the phrase that then you could judge as being enough or not?",,,,
,JM:,"I guess by way (and this is where what I'd said earlier about working in extended forms)&#8212;the only way I knew how to generate it was to think really in book length terms. So, I'd have (in the case of my second book, The Lovers' Familiar I came up with something that's formal but also structural&#8212;The Canonical Hours. So, I thought... There were 8 of those - Midnight, 3:00AM, 6:00, all the way on to 9:00PM. If they would organize the book as a whole and have a medieval affect to them, faintly Catholic&#8212;if that was in place but it was not really a religious book, how might things go? There were going to be more than 8 poems in the book, but it turned out to be 15. What would come in where in relation to a 24-hour period? What might happen between noon and 3:00PM?",prompt; mss,,,
,,"So, I had that general scheme as something that could direct me toward, in one case, a portrait of an otter. You know, something along those lines. Then a lot of stuff in the course of working on the book (which I'm trying to remember how long&#8212;I think it took me 4 years to write it), a lot of stuff just fell away because it wasn't, again, good enough.",prompt; mss,,,
0:23:15,DB:,"And in terms of simply... Were you drafting by hand, or...?",,1395,Early career longhand and typewriter writing practices,
,JM:,By hand&#8212;all of it by hand,,,,
,DB:,All of it by hand,,,,
,JM:,"And then I would... The process through all of the books until this most recent one was all long-hand and then typewriter. I loved typing successive drafts because typing is so much easier than composing, so, it was a break. It was just, ""Oh, boy! I get to...""",between; paper; early,,,
,,"So, I never minded typing, and I suspected that I would miss it on this machine. I didn't miss it. It turned out, since I'm typing all the time--I'm composing from the beginning and I'm redoing everything&#8212;I liked this. I can't imagine how it was possible to write a book of prose (to write the Ulysses book) long-hand with a typewriter. I mean, I just can't. It would have been so much easier if I'd had some facility with the computer to write that.",between; paper; early,,,
,DB:,"Yeah, yeah",,,,
,,"So, essentially though, all of your books except this last one have followed the similar process of&#8212;",,,,
,JM:,Yes,,,,
0:24:45,DB:,Could you kind of detail that in kind of like step-by-step process?,,1485,Step by Step Writing Process from longhand to typewritten,
,JM:,Yeah,,,,
[00:25:00],,"On a good day ... I mean I have to work every day usually in the morning, sometimes as early as 4:00. I didn't mean to get up at that time but I was awake at that time&#8212;I was wide awake at that time and I'd go to work right away. I'd go back over what I'd had up to that point in a poem and I'd find stuff that had to be revised. So, I'd do revision.",revision; mss,1500,,0h25m00s
,,"Sometimes that would be all I would do on a given day, and then something that I hadn't yet gotten to would suggest itself, and I'd have a phrase or a sentence. That's what I mean when I use the word compose&#8212;Something I hadn't had yet, there's at least a possibility that I might have and it would sound maybe something like this, maybe one more of the words would actually survive. So then I'd nudge it along a little more and on a good day, if I had a line and a half, or two lines, that would be a pretty good day. And that could take 4 hours.",prompt,,,
,DB:,"And in doing that, in kind of getting to that point, is that all done on loose notebook paper?",,,,
,JM:,On long-hand.,,,,
,DB:,Long-hand.,,,,
,JM:,What did I work...? I think I just worked by 8x11 sheets of paper. I remember at one point they were yellow&#8212;and then they were white!,paper,,,
,DB:,It didn't matter.,,,,
,JM:,It didn't matter.,,,,
,DB:,Yeah,,,,
,,"So, what would one of those pieces of paper look like?",paper; highlight,,,
,JM:,"A lot of crossing out, rehearsing what I had already that needed to be there to remind me of what seemed as if it had made the cut with me as something that could be kept, and then something new would join it for a while but it wouldn't really be good enough. And then, it would have to be revised. Pretty soon, it would be better enough maybe to stay, and then when I'd get (I don't know what) 8 or 9 lines more, then I'd go to the typed copy of what I'd transcribed from long-hand on to typed copy and add what was new, make what changes I'd made in long-hand, and then just bring all of that along with me.",paper; between; revision; highlight,,,
,,"When I was writing my third book, Four Good Things, that entailed thousands of lines in untitled sections. There's 16 sections of it of varying lengths, and I'd do it section by section. It was pretty much chronological, but some of the sections were 16, 17 pages long, so I'd go through the whole process for that particular section. You know, if I were typing up what I'd recently added 4 or 5 lines to, I'd probably type the whole thing again.",mss; between; revision,,,
,DB:,"So, you were generating lines long-hand&#8212;working on those. And then as they got to the level where you though they could enter in to the poem, you would then retype the entire poem or section, and go from there?",paper; between; revision,,,
,JM:,"Yes, yeah",paper; between; revision,,,
,,And never minded that activity&#8212;never minded it.,,,,
,DB:,"Did you find that in typing that, were you actively making changes at that time, or not so much?",,,,
,JM:,Not so much.,,,,
,DB:,OK,,,,
,,"And then once you had that object, would you go back and read it to yourself, or read it out loud?",,,,
,JM:,"Yes, yeah",,,,
,DB:,And then you would start the revision process on that type-written document?,,,,
,JM:,"I'd wait 'til the next day. It would, more often than not, not look so good the next day.",revision,,,
,DB:,"Yes, yes",,,,
,,"So, would you save these sheets of paper on which you were long-hand composing?",paper,,,
[00:30:00],,"Not with any fondness. I mean, they were only (30:00) for my uses&#8212;it was not anything I wanted to preserve in anyway. I didn't care about anything other than finishing the poem and having it done. That was all that mattered to me.",paper; revision,1800,,0h30m00s
,DB:,OK,,,,
,JM:,"And I didn't often find myself in situations in which lines that I'd deleted I later missed and wished I had copies of them to see if I could... I mean, that happened a few times but it was so rare that I don't think it influenced my ways of going at the whole process. I didn't ever regret throwing stuff away.",revision; future,,,
,DB:,Right,,,,
0:30:50,,"I guess we can kind of maybe talk in about how... I mean, we're already talking about the revision process for these poems, and it seems like... I sort of asked the other writers like what is your sort of primary revision or textual changes, and it seems sort of subtractive. Like you would find something that you didn't like, and would you try to substitute something in for that?",revision,1850,Simultaneous Revision and Composition Process,
,JM:,If I could find it.,revision,,,
,DB:,If you could find it.,revision,,,
,JM:,"And if I couldn't, then it probably needed to disappear.",revision,,,
,DB:,"Just that part, or...?",revision,,,
,JM:,Just that part.,revision,,,
,DB:,"OK, but once you kind of had a structure of a general poem, though, it usually stayed?",revision,,,
,JM:,"By the time I got to the end of it, it did. I mean, I work on them almost only cumulatively so that I take them along line by line. I don't...I'm not able to write a draft of something. The only variation on that is that I'll sometimes get the ending--it'll present itself to me&#8212;I mean the phrases. And I'll have that as a kind of telos for where I'm headed&#8212;not all the time, but I'd say half the time that happens somewhat in advance of my getting even within the couple of pages of the ending itself. It'll occur to me, and it won't tell me what is missing. It won't do that. It'll be just something that I feel would provide the kind of closure that I think would work.",revision; mss; prompt,,,
,DB:,"So, essentially, you are writing (I don't know if you can) chronologically or...?",revision; mss; prompt,,,
,JM:,It is chronologically.,revision; mss; prompt,,,
0:34:22,DB:,"OK, so, as you build it and build it and build it, the revision process and the composition process are all happening at the same time?",revision; mss; prompt,2062,Beginning and Continued Composition of a Book,
,JM:,"Yep, yep",revision; mss; prompt,,,
,DB:,"And that's happening in concert with the other poems in the book, or are you usually focused on one until it's done and then you move on?",,,,
,JM:,"I'm focused on one, but I have a pretty good sense of where it might go, organizationally, in relation to the others except right at the beginning of the project. At that point, I'm not clear on what's missing. I'm working toward beginning to understand what the whole might contain, but I just have to wait until... I mean, if I think of the last two books - there are 6 poems in capacity and 8 poems here (8 poems in the most recent one), and in both cases that's a small enough number that I'm not sure where in the process of writing either of those books (whether it took me 3 or 4 poems) to have a sense of what else I needed, but it was somewhere in there. Kind of midway, then I'd be a little clearer.",revision; mss; prompt,,,
,DB:,"Can you talk a little bit about what that point is in the beginning of the project? Like how that... Is there something starting to emerge in your thinking, in your reading, or...? Where does that come from?",,,,
,JM:,"Again, I have to learn what it's possible to learn about the first and the second poem that I write in any of the projects. If I think about this most recent book, I was commissioned by the New York Times to write a Thanksgiving poem. I mean, that was the first poem that I wrote for this most recent book, and I wrote it. I kept taking my notes on all of the things that I was reading, and was caught up in the reading and the note-taking and all of that. All of it was to the end of my getting started on my second poem and I had no ideas what that was for 2 years, and then that poem came out of Proverbs. Then I spent another year and a half before I had any lines at all on a third poem. I looked back over a 4-1/2 to 5 year period in which I had written two poems (neither of them particularly long&#8212;the longer of the two was 4 pages). That was all I had. I didn't have a page a year, essentially.",mss; highlight,,,
,,"And for the life of me, I don't understand why I didn't just accept that I was thru writing. I mean, that should have been enough, but that wasn't what I felt –I don't know why, but I didn't. Then, I guess, I'd taught myself enough about what I was trying to learn in the whole project that it got underway, and then there was a momentum to it that I don't really remember in any of the other books that I wrote. There was kind of a momentum in writing Four Good Things but it was a momentum that I would describe as documentary even though there was an autobiographical element to it. It was as if I could hear some kind of narrator in a documentary saying this thing, or that. And the form of the thing was usually more than a 10-syllable line in this monolithic block that looked kind of like prose but still had a jamb, and it was lines.",mss; highlight,,,
,,"So, that gave me kind of momentum but very different from what the lack of momentum that I had when I began this book&#8212;there just wasn't any. I don't know where it was going to come from.",mss; highlight,,,
,DB:,"I guess, in those... You said you were kind of teaching yourself to get to the point where you can get that momentum back and start writing more. What are those parts of your life look like in terms of your writing, your practice? I mean, are you still waking up and working?",prompt,,,
,JM:,Yeah,prompt,,,
,DB:,"I mean, in your writing and in your reading, taking notes...",prompt,,,
,JM:,All the time.,prompt,,,
0:37:59,DB:,"Can you describe how that works, how that part of your practice works? And that's been pretty steady since the beginning, or since you start writing for the second book?",prompt,2279,Note-taking Practice in notebooks and on cards,
,JM:,"Yes, all the way back, and I think the reading and the note-taking part of it has gotten to be more dominant over the course of the time. These notebooks...[points to bookshelves full of notebooks] And there are probably about 10 others and the ones that fit in that shelf right there&#8212;that's about 4 years of worth. Prior to those, I was working with 5x8 cards, writing in long-hand. That just got too hard to keep track of (I had boxes of them and arranged alphabetically), but this is an improvement on that. It's more... It's something I could find and I'd index these so I could find my way around these books. In a way, the cards&#8212;they just got too many of them.",prompt; paper,,,
,DB:,"So, the cards, you had them in just like regular card... Would you flip through them like a card catalog kind of, or...?",prompt; paper,,,
,JM:,"Except I wouldn't flip through them, that's the thing. They didn't invite me back to them the way these [notebooks] do. I can take one of these down at random and be reminded pretty quickly of why it was that particular book that I was reading and why I was having the responses to it that I did.",prompt; paper,,,
[00:40:00],,(40:00),,2400,,0h40m00s
,DB:,Do you mind grabbing one of those and just kind of showing how you would do that?,,,,
,JM:,No,,,,
,DB:,"[Hopefully, we'll get it in the frame.]",,,,
,JM:,Let's see if I can find some pages here where I've gone&#8212;,,,,
,DB:,"Or I can take pictures of these, if you don't mind.",,,,
,JM:,Not at all.,,,,
,,"I work on... These are the notes that I would take for the book that I'm reading. The RED is the more important material. It's something that, if I'm going through it I can read and just pick out the highlighted parts, then GREEN are my own responses. So, I'm always working on the right hand page when I'm taking notes from books I'm reading, then when I'm going back over the material, I'll work on this page and there'll be other changes. Usually more GREEN will turn up.",prompt; paper; highlight,,,
,DB:,OK,,,,
,,"And that's your response to it. OK, I got it. So, how do you index them?",,,,
,JM:,Just by title and... Let's see. I've got some of those pages here.,,,,
,DB:,OK,,,,
,,And indexed by title of work that you're reading?,,,,
,JM:,"Now, where did they go? See, I should know where they are, Devin ... But I had the sheets.",,,,
,,"Ha, ha, ha, I can't find them now. They were usually in this red notebook. So, they're pages of an index that are arranged according to notebook numbers. They're here. Susan just rearranged them. They're somewhere in here, they're not lost.",future,,,
,DB:,"OK, good",,,,
,JM:,I hope so.,,,,
,,"So, then I just find my way to the notebook and it'll have the page numbers and everything. Oh, and then in the front of each notebook, I have the title and the page numbers.",,,,
,DB:,"Oh, OK. So you know you can go back and find the work you're thinking about for whatever you are doing.",,,,
,JM:,Right,,,,
,DB:,OK,,,,
,,That's fascinating.,,,,
,,"OK, just to remind me then...",,,,
,JM:,[You're very patient.],,,,
,DB:,"[No, no. I like dogs. He's a good guy. I have a new appreciation for dogs, too. It's our first dog, so...]",,,,
,JM:,[Would she be smelling Rufus on you?],,,,
,DB:,[I don't know. Maybe? Maybe on these jeans.],,,,
,JM:,[Yeah],,,,
,DB:,[I'm admitting my jeans are not super clean!],,,,
,,"So, the index cards&#8212;were they cards that you were working&#8212;?",,,,
,JM:,They were cards.,,,,
,DB:,"OK, and that's what...",,,,
,JM:,Shall I... I think... I don't know if I have them. She may have moved those.,,,,
,,She moved them somewhere. I don't know where they've gone.,,,,
,DB:,"Well, we can find them and take pictures later.",,,,
,JM:,OK,,,,
,,Michelle [Latiolais] wanted one. I gave her one. She framed it.,,,,
,DB:,"Oh, that's awesome!",,,,
,,"So, and all that note-taking... Say... I mean, is there like a hypothetical where you could say like, ""I used my index to find something and that led to a line or...""? How would that... I guess, what is that process like?",prompt; between,,,
,JM:,That is the way it tends to work and yet I can't go back once I've got the line unless I'm quoting.,prompt; between,,,
,DB:,Right,,,,
,JM:,I can't make a connection. There's just some kind of break&#8212;something gets suggested and I can never reconstruct it.,prompt; between,,,
,DB:,"OK, wow!",,,,
[00:45:00],JM:,"Another way to say it is that I think the(45:00) reading...it feels like the reading does this to me. Like it just pulls me out towards stuff that other people, the writers of the books I'm taking notes on, are more connected to than I am but they do a good enough job of saying what their connections to it are that the things I'm reading become suggestive to me of things that I didn't know that they make available. And then that gives me a sense that there's less I've failed to address, and therefore maybe I've been brought to a position (with their help) of being able to find a phrase that lets me move from this point, in where I am with the poem I'm writing, further along.",prompt; highlight,2700,Suggestive Importance of Reading to Practice,0h45m00s
,DB:,How do you choose the books that you're reading?,,,,
,JM:,"The disciplines that I've gone back to more and more than any others are philosophy, theology, history, psychology, sociology, anthropology. And one or other of those will seem like it's more pertinent, depending on where I am, in the process",,,,
,,"So, I'm on Amazon a lot, truck stops in front of the house fairly frequently, and I'm helped enormously by the succession of books that turn up at the door that I have the time to indulge myself with.",,,,
,DB:,Great!,,,,
,,"So, you mentioned Amazon. Are you using the recommendations that Amazon provides you, or are you finding a book from another book?",,,,
,JM:,"I'm usually finding a book from another book. They do send me the monthly things--""Here's my list,"" and I go through it but I'm usually ahead of them.",,,,
,DB:,"OK, that's good.",,,,
,,Most people are not ahead of them ...,,,,
,JM:,But they're not bad at it.,,,,
,DB:,"Oh, no. They've got pretty powerful algorithms.",,,,
,JM:,It's their job.,,,,
,DB:,"Yes, it's what they do",,,,
,,"So, going back, you said... Then, so every book except this last book was composed in long-hand and on a typewriter.",change; between,,,
,JM:,Yes,change; between,,,
,DB:,What's the change then for this final&#8212;the last book here?,change; between,,,
0:48:00,JM:,"There was, as I said before, a surprise that I wasn't at all missing the typing&#8212;the typing stage probably because it was all typing. So, it was as if... That's what's happened with this machine&#8212;was the long-hand and the typing just coalesced and because the same activity. I don't feel that it made any of it any quicker. I mean, it probably did, but that wasn't the sense I had of it. It was less cumbersome because it's sitting here and I put it over here, and all that. But it seemed like it was very easy transition&#8212;I don't miss the typewriter, which I loved, you know? But I don't miss it&#8212;I think it's in my storage space about 2 miles away from here.",change; between; highlight,2880,Latest Book Being Composed on Computer rather than Longhand and Typewriter,
,,"So, it couldn't have been an easier shift from that technology to this one, I don't think.",change; between; highlight,,,
,DB:,"Just to clarify for myself&#8212;are you still doing the long-hand composition, or is all of that work now happening on the computer?",change; between; highlight,,,
[00:50:00],JM:,"It's all happening here [on the computer] except when I don't take the computer with me, say, to Idaho then I will (50:00) work in long-hand. So, I'll print out whatever it is of whatever I have working on and I take that printed copy with me. Then, I'll just work long-hand with it, leaving the computer here. Then, I'll be back in 3 weeks, or something like that, and then re-incorporate it into what I've got here in my files.",change; between; files; highlight,3000,,0h50m00s
0:50:13,DB:,OK,change; between; highlight,3013,Transferring Processes to Computer for Poems and Letters,
,,"One thing, I guess, I might... So, in the composition stage, do you still do like strikethroughs in that?",change; between; highlight,,,
,JM:,Yeah. I work pretty much the way I've worked before.,change; between; highlight,,,
,DB:,You just transferred those processes on the computer?,change; between; highlight,,,
,JM:,Yes,change; between; highlight,,,
,DB:,Did it take some time to figure how to do that--?,change; between; highlight,,,
,JM:,No,change; between; highlight,,,
,DB:,--or was it fairly intuitive?,change; between; highlight,,,
,JM:,Yeah,change; between; highlight,,,
,,"And I guess... I mean.... Then another aspect of it is letters that I write here. So, I'm doing whatever revision I do of the emails I send right here on this. In that way, this makes it a little more personal. I can't remember how it was like to write a letter to somebody. It wasn't one of these, and I understand that letters you post aren't any more invasive than something you send here [on the computer]. But I love how non-invasive this [the computer] is as a medium&#8212;not so much in terms of my being protected against being invaded by somebody else, but being able to say something (send somebody something here [on the computer]) and understand that they can open it when they want, and that it's not an imposition on them.",change; between; highlight,,,
,DB:,So explain that a little bit. The non-invasive part&#8212;do you feel like the letter was a more invasive...?,,,,
