timestamp,speaker,words,tags,highlight,timelink
,RP:,No. I used to be a Windows user. I'm primarily an iOS Mac user now.,,,
,DB:,"You're primarily an iOS Mac user. That is, then, just a screen that's coming from the MacBook Pro?",,,
,RP:,"Yes it is. Maybe this is the kind of thing you are interested in&#8212;I used to go through the whole rigmarole of syncing between my desktop and my laptop. I went through various generations of the best way to do that and now I'm not quite at the totally-cloud web system, but I realized that with a nice external monitor, external keyboard, external mouse, I can use the MacBook Pro as what we used to call the ICU. Then when I'm tired of using that way, I just have to remember to eject the backup and then unplug all that stuff and then I could get on an airplane with it. I'm not syncing it with anything. It's itself.",future;,,
[00:07:20],DB:,"When you save your files, do you have like a Dropbox account or anything like that?",future;,,440
,RP:,I do have a Dropbox account.,future;,,
,DB:,"So, you do have some sort of backup in the cloud?",future;,,
,RP:,I have a Dropbox account and I have a 2 TB amazingly small little white brick&#8212;,future;,,
,DB:,External hard drive?,future;,,
,RP:,&#8212;that backs up automatically.,future;,,
,DB:,How long have you been doing the backup procedures?,future;,,
,RP:,For years. And I'd like to vilify the company&#8212;it's a sort of a French name&#8212;with a backup fail.,,,
,DB:,Ugh. Really?,,,
,RP:,My computer broke and the... They're called...,,,
,DB:,"It's not LaCie, is it?  No?",,,
,RP:,"It may have been LaCie. Anyway, that can happen too.",,,
,DB:,What happened there?,,,
,RP:,"Most stories about, ""Oh, I lost my book on Yates,"" or ""Oh, I lost all this""&#8212;it's about 79% bullshit. Most of us have given the manuscript to somebody or have earlier drafts somewhere else. It's never pure loss. Like most things in life, it's a matter of degree.",,,
,DB:,"Yes. That's true. So, what was the loss there?",,,
,RP:,I can't remember.,,,
,DB:,You can't remember. It wasn't&#8212;,,,
,RP:,I lost a bunch of data. I didn't lose anything that I couldn't recreate or find a different version of somewhere else.,,,
,DB:,"You sort of went through, in your first answer, many of these questions right here. It seems like you've been fairly adept at using a computer for most of the time. Have you sought out any instruction or has it just been something you've taught yourself?",files;early;highlight,,
,RP:,"It's mostly something I've taught myself. ""Adept"" is a relative term compared to all the other writers and poets I know. I guess I'm adept compared to any 15-year-old. I try hard. And, you know, that first encounter&#8212;I've always liked gadgets. I never was good in school but I always liked learning a certain kind of thing and I guess I'm the type that tends not to like to read the instructions. I would rather figure it out. If there are two great personality types in the world, I tend to be the type that says, ""If I can't figure it out, I don't want to do it.""  I don't want to have to read the instructions.",files;early;highlight,,
,,"I did hang out with programmers when I wrote Mindwheel. As my introduction to computer technology, I did hear a certain amount of jargon. And sometimes, when technology is from a primitive state, you learn more about them than when they are more perfected. At one time, to drive a car, you had to know something about cars. People in the days of the term ""hi-fi"" had to know something about the process of recorded music. And as they improved the car and they improve recorded music, there's less and less anybody needs to know.",files;early;highlight,,
,DB:,"I'm reminded of a story about the early MSN messenger wars. Did you read this? Where the AOL and the MSN people were going back and forth, trying to kind of copy each other's thing. And then the people at AOL started programming in, like, the basic, basic, basic level&#8212;called, I think, ""operative processing,"" or something&#8212;and it's, like, huge, huge amounts of ones and zeros, essentially.",,,
,RP:,The thing before assembly language.,,,
,DB:,"Yeah, exactly. So, you are way up there. Can you talk a little bit more about how that came about, how the Mindwheel came about?  Were you at like a location that the programmers were near, or did they contact you specifically?",software; early;highlight,,
[00:11:45],RP:,"I was sitting in my office at the University of California, Berkeley. I was very glad to be at Berkeley after the&#8212;for me, kind of tedious&#8212;Wellesley College, where I taught. I found Wellesley wasn't like going to jail, but it was a little New England Women's college. So I was very happy to be at Berkeley and that euphoria lasted for weeks and then Berkeley also came to seem very much like&#8212;how can I put this&#8212;an English department. And the phone rang and it was somebody named Ihor Wolosenko&#8212;the first person and the last person I have known named Ihor&#8212;Ihor Wolosenko from Synapse Software. And he said, ""I'm looking for a writer to work on a new kind of computer product. Are you familiar with Text Adventures?""  I said, ""No.""  He said, ""Are you familiar with computers?""  I said, ""No.""  He said, ""Have you ever heard of a game called Zork?""  I said, ""No.""  He said, ""It's a text that appears on the screen and you can go North or South or East or West, and you can pick up objects. It's a form of narrative. We have a very superior program. We can become more sophisticated than that. We are interested in serious literal writers who might write text for a game like that. Might you be interested?""  I said, ""Yes.""",software; early;highlight,,705
,,"It was the first yes I had in the conversation. Synapse was in El Cerrito, which is quite close to Berkeley. I went out there and it was not an English department. There were these weird guys with their shirts half tucked-in. I later learned they lived on Big Macs and Van Houten bars. They slept in the day time and worked at night. They didn't pay for their phone service&#8212;they had different ways they could pirate phone service and had little machines that made long distance tones. The words that were most forbidden, it seemed, to them were not racial epithets or sexual terms or scatological terms. The forbidden words were words like nerd. liked them and I wrote up several scenarios for Ihor.",software; early;highlight,,
,Cable Guy:,Television's upstairs?,,,
,RP:,"Yeah, it is. Maybe I should help you find it. There are a couple of rooms up there.",,,
[00:21:10],DB:,"So, we were talking about Mindwheel. You went over to meet the programmers and you liked them quite well.",,,1270
,RP:,"I wrote up three or four different plots and the most far out one, modeled in a vague way on Dante, the comedian, was you are on a mission to travel through these minds. Four minds. It turns out that minds leave permanent elaborate footprints and records of themselves in what we call the ""ether."" I can't remember what I call it in the game itself. I always called it a game, and they always called it an ""electronic novel."" At the beginning Dr. Virgil puts the electrodes in your head and then you travel through the minds of a kind of Shakespeare/Dante figure; a kind of political rock figure, vaguely John Lennon like; a woman who is kind of an Einstein. And then a great dictator, a kind of a Stalin/Hitler/Mussolini mind.",software; early;highlight,,
,DB:,You could chose your own adventure kind of thing?,software; early;highlight,,
,RP:,"No. It's more ""interactive,"" they called it. You needed to solve problems. Some of them involved poetry.",software; early;highlight,,
,DB:,Did you come up with the poetry problems?,software; early;highlight,,
,RP:,"Yes, or I would adopt ones from 16th century poetry. There was one riddle&#8212;you have to  free a winged woman from a cage, and the cage is the riddle. It comes from Sir Walter Raleigh's poem ""On the Cards and Dice,"" and it says, ""An herald strange, the like was never born, whose very beard is flesh and mouth is horn.""  You had to solve that riddle. And the Raleigh poem which is there, it's about the Cards and Dice, and it says, ""The trump will be heard and dead bones will jump up, will be rattled and men will groan and four kings will be gathered and four queens.""  So, it sounds like a mystic prophesy, but it's the cards and dice. Then it says they do this until  a ""herald"" calls&#8212;""an herald strange, the like was never born, whose very beard is flesh and mouth is horn."" I can see your flunking this.",software; early;highlight,,
,DB:,I'm totally flunking this.,software; early;highlight,,
,RP:,They play all night.,software; early;highlight,,
,DB:,Oh!...I'm still flunking this.,software; early;highlight,,
,RP:,Something wakes them up in the morning.,software; early;highlight,,
,DB:,The rooster?,software; early;highlight,,
,RP:,"Yeah. The rooster's beard is flesh, his mouth is horned. And the rooster's not born, it's hatched. And that was an insult when I was a kid: you weren't born, you were hatched.",software; early;highlight,,
,DB:,"So, you incorporated a lot of things into that. I'm interested in kind of like how that physically happened, too?  Did you write that out on your Selectrics and then send them the text?",software; early;highlight,,
,RP:,Selectric didn't appear in it. I wrote it on the Atari.,software; early;highlight,,
,DB:,You wrote it on the Atari?  Okay.,software; early;highlight,,
[00:24:20],RP:,"As I said, for a good period, I was one of the few people in the country who was writing everything I was writing to read off a screen on a computer, and everything I was writing to read on paper on paper. The Times asked me to review a book of prose by Philip Larkin. I was having a little trouble getting started with it and I had been writing this very fluid Bubble World of computer. I couldn't get started on the Larkin so I decided I'll experiment. I'll see if I can write the lead on the computer, on the monochrome, because it's so much less real than a pen or the typewriter.",software; early;highlight,,1460
,,"I wound up writing a draft of the whole fucking review on the Atari. I can't print it out. They weren't Dot Matrix printers over there at Synapse but I liked visiting Synapse anyway. And I did have&#8212;you may never have even seen one of these&#8212;I did have the 5.25"" floppies.",software; early;highlight,,
,DB:,Oh yeah.,software;early,,
,RP:,"That's why they're called ""floppies."" Those things were floppy. They were flexible. I'm not sure if email was much used at the time. I didn't email to Synapse. I drove over to El Cerrito, to that office park where Synapse had its offices, right next to an old company named Pixel. I used my 5.25"" floppy to print out my book review. And it dawned on me, ""You're going to have to get a printer. In fact, you are going to have to get a better computer."" So, within, I can't remember, probably a few weeks, I had a jerky, junkie Dot Matrix printer and what we used to call a PC clone&#8212;IBM clone&#8212;called a Corona. I think it was made in Italy, oddly enough. That was probably 1981, 1980, or something. It was quite early.",software;early,,
,DB:,You were already on your second computer by early ‘80s?,software;early,,
,RP:,The first one I owned and the second one I was using.,software;early,,
,DB:,Second one you were using. Just going back to the impetus for getting that first computer&#8212;was it from Synapse?,software;early,,
,RP:,They gave me the Atari.,software;early,,
,DB:,They gave you the Atari. Okay.,software;early,,
,RP:,Yeah.,software;early,,
,DB:,"When you were writing for them, would you&#8212;?",software;early,,
[00:27:25],RP:,"It's all electronic. The programmers would take their assembly language and the program they invented&#8212;William Mataga and later Cathryn Mataga. William invented this program called BTZ&#8212;Better Than Zork. I remember William was the sort of over-programmer, and the personal one&#8212;my partner&#8212;was Steve Hales. It says on the package of Mindwheel, ""Mindwheel: Electronic Novel by Robert Pinsky, writer; William Mataga and Steve Hales, programmers.""",software;early,,1645
,,"The package is a hard cover book. The product is just a floppy. I remember my first conference with Steve. He said, ""I want you to describe your world to me,"" and then we had these interesting philosophical discussions of rooms and space, and scenes and time. Did we think of the scene happening in a room? Or of the room happening in a scene?  There were some interesting conversations. Dialogue tables and things like that.",,,
,DB:,"Can we move back a little bit?  Before all this, like when you were in your early writing career&#8212;would you say it was right around the time when you went to Stanford? When you sort of started writing? I've read some of the interviews and some of the&#8212;",career,,
,RP:,Yeah. I thought of myself as a writer when I was at Rutgers as an undergraduate. I was a beatnik wannabe. I was writing. I was writing poems. I was editor of the undergraduate literary magazine.,career,,
,DB:,Oh cool.,,,
,RP:,"So, no. I had a writing life.",,,
[00:29:45],DB:,"Okay, when you were starting off, what were your practices like? Did you keep notebooks?",highlight; paper; prompt;,,1785
,RP:,"I have never kept notes. I'm not a note maker. I would get an idea for a poem and I would write it. I remember for awhile I shared an apartment with Alan Cheuse, novelist. He does book reviews for NPR. Alan is a year ahead of me and Alan is a fiction writer. I could remember hearing his typewriter going tick, tick, tick. I was sitting there, maybe with a paper and pen thinking, trying out different phrases in my mind and sort of ending that tick, tick, tick.",highlight; paper; prompt;,,
,DB:,Has it been since that time and throughout that you've always kind of felt it as a sort of voiced-oral thing in your head before anything?,highlight; paper; prompt;,,
,RP:,"I got more and more confident then. But yes. I felt that was my métier. What I could do that I felt not everybody could do had to do with the sounds of sentences like that thing we just watched on TV. The sounds of sentences&#8212;the way vowels and consonants work together, the way a short sentence relates to a long sentence.",highlight; paper; prompt;,,
,DB:,How did you come to figure out that you could do that better than other people?,,,
[00:31:12],RP:,"Probably in the course of college. But I remember that as a kid I would try to tap out the rhythm of sentences with my fingers. I thought about things like voiced and unvoiced consonants before I knew the word for them. I had been thinking about the difference between the ‘th' in ""the"" and the ‘th' in thin. ""The""&#8212;you use your voice box. ""Thin""&#8212;you don't. I wasn't sure...it seems like a bad habit in a way. But I thought about the sense of words. So, it's not a surprise to me that I was good at it when I discovered there was an art based on such things.",prompt;early,,1872
,DB:,I guess the question is then how you kind of developed?  You had that sort of innate talent. What were the steps you took to develop that talent?,prompt;early;career,,
,RP:,"Reading. I had great teachers. My freshman English teacher was Paul Fussell, and he asked us to read ABC of Reading by Ezra Pound. I read Yeats and Eliot and Ginsberg and Bishop. And I recognized the way the sounds of words were doing things in those writers. William Carlos Williams and William Butler Yeats and Emily Dickinson. I was less interested in the differences among them than the thing I saw going on in all of them. I was interested by that thing.",prompt;early;career,,
,DB:,"Yes. That's such a better way to get into it. When you started to kind of compose the poems and they became more important to you personally but also important to your career and moving forward, what were the ways you were working on them?  Were they always kind of appearing in your head? You'd write them down by hand and then type them up for other people? What was the process there?",prompt;early;career,,
,RP:,"I've had these ideas floating around in my head for a long time. A certain sense of ideas, like ""humble things have histories.""  ""What were the first things you ever saw made out of plastic in your own life?""  Cheap shit from Japan after the war&#8212;toys mostly. Plastic soldiers, metal soldiers, saw dust soldiers. During a war, you couldn't get them. So I would think about those substances.",prompt;early;career,,
,,"Those ideas, that set of ideas about different materials. That's all just thoughts. At the same time, I'd be mixing up my own personal history. The time I left some sawdust soldiers&#8212;pressed-wood soldiers&#8212;out overnight and they swelled-up. And then a completely other set of ideas that might involve war and the fascination of war. I had an uncle who was in the ""Battle of The Bulge."" He was a radio man, and I remember being very tiny and being fascinated by his massive boots. He's wearing the boots and I'm on the rug, touching those big boots. And none of that's the poem. That's memories, thoughts, ideas. And then the poem is when you start putting some sounds together. Something unnatural about the way a sawdust soldier will swell in the rain, unlike the boots of my uncle.",prompt;early;career,,
,,"It's not an existing poem by the way. I can give a little demo. The poem starts when you start thinking about the vowels and consonants. With ""uncle""&#8212;you rearrange the consonants. ""Unclean"" and ""calendar."" ""The calendar of childhood."" Then the time between the day that you find out wooden soldiers get ruined and the day that your mother and grandmother both dreamed that Julian was in trouble, and negligent memories of unclean...blah, blah, blah. That's the material.",prompt;early;career,,
[00:38:13],DB:,"Yes. That's the material. I guess the purpose of these interviews is kind of to think about how that material becomes the book in all its iterations, and how that has changed over the course of time as to how many computers you think you've owned, how many different writing devices. Stuff like that. If you compose it in your head, does that mean you have whole poems in your head before you write them down?",prompt; early,,2293
,RP:,"Sometimes, but more often I'll get enough lines to want to make a draft. So I'll write them down and I'll look at those and recite to myself the different things I've written down, and then I'll decide to type it into a document that I can print out. And then I'll read that over and maybe get a new idea.",prompt; early,,
,DB:,What was that like in the early '70s/late '60s?,prompt; early,,
,RP:,Pre-computer?,prompt; early,,
,DB:,Yeah.,prompt; early,,
,RP:,Something came out of the typewriter that has a lot of ballpoint all over it. Now it comes out of a laser printer and it has felt pen in all over it.,prompt; early,,
,DB:,"When you're actually doing the writing-down, you say you don't really usually use notebooks or anything. What is it you are writing on? Is it just bare paper?",prompt; early,,
,RP:,Yeah. My favorite kind of paper is very hard to get. I'm forced to use this because it's very hard to get this. I don't like the lines.,prompt; early,,
,DB:,"Yeah, that's interesting.",prompt; early,,
,RP:,"I get that somehow society doesn't take this very seriously anymore. You can get it white, I don't want it white.",prompt; early,,
,DB:,You want it yellow?,prompt; early,,
,RP:,I want it yellow.,prompt; early,,
,DB:,"I think that is the best, color-wise&#8212;yellow and black, or some sort of yellow as the background is the best.",prompt; early,,
,RP:,"Yes. Yellow and black is somehow a little more fluid than black and white. Black and white feels sort of legal, or reductive.",prompt; early,,
[00:38:18],DB:,"Have you been working with blank yellow paper if you can, since&#8212;?",prompt; early,,2298
,RP:,"Yes. We haven't talked much about prose. I can remember working on prose and going through lots and lots of different processes, technologically. White-out of course. But I can remember before the IBM liftoff, I can remember using&#8212;and they even made it double-space, or sort of single-space, I believe&#8212;correction tape. So, you could take a passage that you wanted to change and you glue the tape down and you might use a Xerox machine. You would do white out so the tape didn't leave a tell tale grey outline. I can remember kind of thick, palimpsest pages where I had done that on some piece of prose.",prompt; early,,
,DB:,And that would build-up and build-up until you got it to...where?,prompt; early,,
,RP:,"I think with the early drafts of The Situation of Poetry, I was still at that stage of the tape and the white out, and I'm probably forgetting a couple of other things I did to save having to retype something. Now, I've met an editor who said she thinks prose declined&#8212;people started writing much more poorly&#8212;when the computer made it so easy to insert passages. That it led people&#8212;rather than concentrating on editing and cutting and sculpting their prose&#8212;to insert. That every sentence got a little bloated.",prompt; early;highlight,,
[00:40:10],DB:,"In terms of that same process, how do you think that affected poetry, and maybe yours specifically?",prompt; early;highlight,,2410
,RP:,"I think poetry took an unproductive turn when people fell in love with the technology of the typewriter. Charles Olsen wrote very solemnly that with the new poet, you can count the spaces. Proportional spacing came along within a decade or two and made nonsense of that. To me, the graphic thing&#8212;people talk about lining endings quite a lot. I always feel, ""No, I don't write line endings, I write lines"" and it's the whole line. I guess you could say I'm kind of an extremist and very resistant to the visual idea of the poem. Different technologies give people the illusion that poetry is a form of graphics, and I guess for them it is.",prompt; early;change;highlight,,
,,"For me, the unique quality of poetry is that it is vocal. It's on a human scale. It comes out of one person's body one syllable at a time. There doesn't have to be anybody else around&#8212;I'm not talking about poetry readings or performances. I'm talking about things very similar to the Favorite Poem Project videos. So, with technology, the most important thing yet to be done&#8212;and it's amazing to me it hasn't been done yet...",change;highlight,,
,,"I was at Chancellor at the Academy of American Poets and they brought to us, very proudly&#8212;first chancellors to see&#8212;somebody who had made a program where the words of a poem can scroll and jump around. You see  words do that on TV ads every day! It's banal. Why don't they correct the fact that still, I think, FSG won't publish poems in an electronic e-book edition because, somehow, nobody has come up with a way to preserve the integrity of the lines. It seems to me you could get a team of programmers to do that in a couple of days.",change;highlight,,
,DB:,I am also baffled by it.,,,
,RP:,"Probably going to happen tomorrow. But at the moment it's in this ridiculous stage where it hasn't happened. On the other hand, Horace didn't have visual lines. They didn't make spaces between the words. They wanted to save parchment or wax or papyrus or stone. Whatever they were using. So, you could figure out where the lines were because the rhythms were so strong.",,,
,DB:,"And you have a very strong sense&#8212;you and, like, James McMichaels, sort of, too&#8212;have that strong sort of oral sense of poetry and are very dedicated to it. Did that come out of working with Winters? Or did that come out of kind of an innate sense of what you were doing from the beginning?",,,
,RP:,"I think there were some moment when I was reading ""Howl"" and ""Sailing to Byzantium"" and Dickinson, and I felt this reality in those things that was different from the reality of Alan's typewriter going staccato. It was different from the reality of reading Ulysses or Dubliners. That was a very powerful reality produced by those rectangular blocks of print and the pages. This was more physical in some way. More bodily, let's say.",highlight;career,,
,,"So it maybe made me ripe for Winters, and he certainly amplified it by inviting me to learn something about George Gascoigne, Fulke Greville, and Philip Sidney, ?Brohly?. But I think it happened when I was in my late teens still, and, you know, Gingsberg was obsessed by blank verse by Elliot, and he'd give himself these exercises in it. So, it was&#8212;as is Williams, in a completely different way&#8212;it was free verse that was intensely oral. William calls all those poems ""metric figure,"" and obviously metric figure is about their attempts to write intense rhythms that are not iambic or blank verse.",highlight;career,,
[00:45:45],DB:,"Yeah, and that move away from that is such an interesting part of the century.",highlight;career,,2745
,,"I guess the kind of overarching question that I'm wondering is&#8212;and as a digital librarian and someone who is working in the digital new, who can't really remember ever not writing on a computer&#8212;when the computer came in, when the Atari came in, and when the screens started appearing in front of you and the ease of those deletions and insertions and re-arrangements became possible, did that change the way you worked? Did that change what you produced?",highlight;career,,
,RP:,"I don't think it changed what I produced, but I think that it was the beginning of a different kind of archival anxiety. There is the archival anxiety about paperwork being preserved, given some manuscript or somebody else's manuscript being destroyed. I'm of a generation where I save magazines that I have work in&#8212;that's the old anxiety. And the new anxiety is the mortality of digital information. I can remember the Library of Congress saying to me that the only way to preserve digital material is to reproduce it. Unlike papyrus, it's mortal. It turns to mush. And that's aside from the fact that the medium keeps changing. The Favorite Poem Project videos&#8212;today I talked about somebody who is going to take the original digital tapes and make them into a current high definition format rather than the flash format they're in.",highlight;future;career,,
,DB:,They're in flash?,highlight;future;career,,
,RP:,"Yeah, on the website. But the website will be enhanced. You'll to be able to make them full screen. For seven years I was in NewsHour with Jim Lehrer. When Frank Sinatra died, I read passages from Virgil about the death of a singer. When the stock market was in trouble, I read Frost's ""Provide, Provide."" At the time, the places I recorded those would give me dumps on VHS tape. Where are they? Where is that material? There's a lot of it. I anxious this has gone into the ether. I was a Poetry Editor for Slate for many years. They eventually found poetry was not bringing enough ""hits,"" enough money and ads and things, so they stopped doing it. To preserve it for awhile, there were years when I would do a poem out-of-copyright, a classic poem. I'd do, say, an early poem by Marianne Moore.",highlight;future;career,,
,DB:,It's how I was introduced to Fulke Greville.,highlight;future;career,,
,RP:,"So I did those. I was shocked to learn that, unlike almost everything, like all kinds of pornography and ads and stuff, they're gone. They're irretrievable. Those discussions&#8212;and so many are with well known poets and critics taking part in them&#8212;they're gone. Vanished.",highlight;future;career,,
,DB:,What form? Were they written?,,,
,RP:,"They were in the fray, in the discussion part. I was responding to people.",,,
,DB:,"Oh, the comments actually below.",,,
,RP:,"So, something quite valuable that I put effort into vanished. Well, we all vanish, we all die. And most objects are described, and we don't know how long Shakespeare's reputation will last. You know, there's the large view, but there's also personal, temporal anxiety. One has mixed emotions when, you know&#8212;my papers are at Stanford. They bought up to a certain year of paper-papers, but a librarian at Stanford said to me, ""I hope you're saving your email. I hope you're saving your electronic emails."" There's a new anxiety there. What in there that I wouldn't want quoted will come out in a journal? So, there is the anxiety of what could be lost and the anxiety of what could be preserved that you don't want preserved. There is the anxiety of&#8212;the family level is only metaphor for the whole thing. I share some photographs with my great grandparents' generation and these are photographs of your grandparents' generation that you treasure. We all have a camera in our pocket. It shoots video. This little tiny sliver has access to almost all the information there is, and you can create more forthright information with almost no effort at all. Selfies, etcetera.",future,,
,,"If you want your grand children to pay any attention to your family photos, you better edit them, because the future generation doesn't want to spend all day listening to grandpa say, ""Hiya!"" You better think about what time capsule you create. And as I say, that's only a metaphor for the larger question you're dealing with. In one of my poems, ""The Forgetting""&#8212;",future,,
,DB:,Which book is that in?,future,,
[00:51:35],RP:,"In Gulf Music, I say, Ezra Pound praised the emperor who appointed a committee of scholars to choose the advocate who has the 1,000 best Noh dramas and destroy the others for the good of the Noh. Ezra Pound approved of that, the fascist. So I was trying to express ambivalence about the winnowing process and the selecting process. The Library of Congress has to decide which sitcoms it will preserve, which commercials. Some of those commercials and sitcoms may be superior works of art to poetry by people who win the Pulitzer Prize. Who decides?",future,,3095
,DB:,Librarians.,future,,
,RP:,I guess you do.,future,,
,DB:,"I'm right here, talk to me. What do you need?  In terms of that winnowing process then, what do you think about your own&#8212;I'm sure you have uncollected works and stuff like that? How do you feel towards those now? And where do you store those? Are they in paper? In certain boxes?  Are they in the papers at Stanford?",future,,
,RP:,"The papers&#8212;every so often, I'll accumulate enough and shoot them off to Palo Alto. Electronically, I mean... As it happens, in the last few months, somebody&#8212;it happened twice, that a poem of mine that I didn't choose to put in the selected&#8212;somebody said to me, ""This poem of yours means a lot to me.""  I remember the poem very well. It's a poem called ""The Reasons.""  This person said, ""It's a poem that, when I think about my ethnicity, the way you deal with ethnicity is very important to me."" But I felt maybe I shouldn't put in the selected, and I didn't.",future,,
,,"Then online, someone I have never met personally pointed to another poem because I'd published it in poetry magazine when I was in my 20s. It was on the Poetry magazine website, and she said how much she liked it. I looked it up and thought, ""Pretty good.""  I'd never put it in any book. I had forgotten it entirely. So, I don't know how that's germane to your question, but it is germane, somehow.",future,,
,DB:,"No, I think so.",future,,
,RP:,"That there is no ultimate authority for that selection process, the author included.",future,,
[00:54:28],DB:,"Ok. So you have these digital files that contain the poem and you've backed them up and you try to make sure they're okay. Do you feel some sort of ""dearness"" towards them? Or do you feel that they're sort of just a means to something else, somewhere else?",files;future,,3268
,RP:,"A lot of it is mechanical. A lot of it is in reflecting. I have many, many folders. I'm sort of a quasi-organized person. So, under ""Documents"" in my hard drive&#8212;which is then backed up in my backup drive&#8212;under ""Documents,"" there are many, many folders, letters from different years; prose. Probably thirty&#8212;I haven't counted them. There is one called ""Drafts.""  In ""Drafts,"" under sub-folders, for most poems there's that ""DR1,"" ""DR12,"" ""DR14."" I look at it and I sometimes feel the way I told you I feel about the family photographs. Nobody wants all this. Bishop has a poem about the umbrella that was so hard to make and the leather trousers, how they gave them to the local museum. How can anybody want such things? I'm sure she's thinking about drafts and memorabilia and so forth. It's just another anxiety. I can't say I think about it a lot, but I'm ambivalent when I think about all those megabytes of drafts. And two separate questions are: do I want anyone to look at them, and who could possibly want to look at them? But I don't destroy them and I do, somewhat mechanically, shoot the drafts into drafts. I guess part of the theory is I might want to look. And I suppose every once in many, many months, I do look.",files;future,,
,DB:,"So you're saving each poem as a new draft? It's not, like, one poem with many drafts in it? It's just, with each poem, a new file, a new draft?",files;future,,
